Name,Sarah Carter,Lillian Novak,Aubrey Robinson,Brooklyn Moore,Sebastian Lopez,Zoe Russell,Allison Diallo,Jocelyn Lopez,Lydia Sanchez,Gabriella Alexander,Nia Kowalski,Layla Mitchell,Layla Martin,Aubrey Weber,Samantha Hernandez,Adrian Bryant,Arianna Ramos,Matthew Lopez,Naomi Green,Sarah Garcia,Emma Wang,Addison Campbell,Abigail Singh,Lena Singh,Scarlett Ramirez,Adrian Bryant (2),Aria Hayes,Zara Thompson,Noah Thompson,Sophia Anderson,Ava Perez,Naomi Ortiz,Owen Lin,Abigail Wang,Nadia Lopez,Imani Smith,Grace Mensah,Serena Ramirez,Jasmine Allen,Kayla Kim,Wyatt Reed,Scarlett Rivera,Scarlett Griffin,Zara Hayes,Eli Park,Ella Gonzalez,Claire Thompson,Victoria Clark,Isaiah Fischer,Madison Khan,Luke Allen,Zoey Ramos,Samantha Ramirez,Samantha Kim,Owen Mitchell,Hunter Mitchell,Aiden Patel,Ryan Morales,Natalie Morales,Alexander Flores,William Perez,Noah Kim,Emma Anderson,Adrian Ramos,Henry Perez,Dylan Clark,Nadia Tanaka,Lena Torres,Carter Flores,Evelyn Bauer,Gabriella Hill,Nadia Foster,Amara Klein,Anna Taylor,Isaiah Taylor,Caleb Shah,Kylie Klein,Luke Simmons
Aisha Diallo,0.13,0.13,0.23,0.19,0.23,0.13,0.23,0.15,0.13,0.0,0.05,0.13,0.13,0.27,0.13,0.23,0.13,0.13,0.23,0.23,0.13,0.0,0.17,0.23,0.05,0.13,0.23,0.13,0.13,0.19,0.13,0.0,0.15,0.13,0.05,0.13,0.13,0.13,0.15,0.19,0.23,0.13,0.15,0.09,0.15,0.05,0.05,0.13,0.23,0.13,0.13,0.13,0.15,0.17,0.15,0.0,0.27,0.23,0.0,0.13,0.23,0.17,0.15,0.27,0.17,0.05,0.23,0.13,0.13,0.13,0.05,0.13,0.19,0.05,0.23,0.13,0.13,0.23
Aiden Nakamura,0.05,0.05,0.05,0.13,0.05,0.05,0.94,0.23,0.15,0.0,0.13,0.05,0.05,0.05,0.05,0.19,0.05,0.8,0.15,0.15,0.05,0.0,0.84,0.94,0.13,0.05,0.15,0.05,0.05,0.23,0.05,0.0,0.15,0.05,0.13,0.05,0.05,0.05,0.98,0.23,0.15,0.05,0.23,0.13,0.23,0.05,0.13,0.05,0.15,0.05,0.05,0.05,0.23,0.05,0.23,0.0,0.15,0.05,0.0,0.05,0.15,0.05,0.15,0.05,0.09,0.13,0.84,0.05,0.05,0.05,0.13,0.05,0.23,0.13,0.05,0.09,0.05,0.15
John Reed,0.05,0.84,0.15,0.23,0.19,0.84,0.15,0.27,0.09,0.0,0.13,0.05,0.05,0.15,0.19,0.9,0.09,0.09,0.19,0.19,0.05,0.0,0.05,0.15,0.17,0.09,0.94,0.09,0.09,0.23,0.05,0.0,0.19,0.09,0.17,0.09,0.05,0.09,0.27,0.23,0.19,0.05,0.23,0.13,0.23,0.05,0.13,0.09,0.19,0.19,0.09,0.09,0.23,0.05,0.23,0.0,0.15,0.15,0.0,0.09,0.19,0.05,0.15,0.15,0.05,0.17,0.15,0.05,0.09,0.09,0.17,0.09,0.23,0.27,0.19,0.05,0.05,0.15
Lillian Griffin,0.05,0.05,0.15,0.23,0.15,0.05,0.15,0.15,0.05,0.0,0.13,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.15,0.05,0.0,0.05,0.15,0.13,0.8,0.15,0.05,0.8,0.15,0.05,0.0,0.15,0.05,0.05,0.05,0.05,0.05,0.23,0.15,0.9,0.09,0.19,0.13,0.23,0.05,0.13,0.8,0.15,0.05,0.05,0.05,0.23,0.05,0.15,0.0,0.19,0.15,0.0,0.8,0.15,0.05,0.15,0.15,0.05,0.05,0.15,0.09,0.8,0.05,0.88,0.05,0.15,0.8,0.15,0.05,0.05,0.94
Ava Wilson,0.13,0.13,0.23,0.15,0.23,0.13,0.23,0.15,0.23,0.23,0.05,0.13,0.13,0.23,0.13,0.23,0.13,0.13,0.23,0.23,0.13,0.05,0.13,0.23,0.05,0.13,0.23,0.13,0.13,0.15,0.13,0.15,0.15,0.13,0.05,0.13,0.17,0.13,0.15,0.15,0.23,0.13,0.15,0.05,0.15,0.09,0.05,0.13,0.23,0.13,0.13,0.13,0.15,0.13,0.15,0.23,0.23,0.23,0.05,0.13,0.23,0.13,0.19,0.23,0.13,0.05,0.23,0.13,0.13,0.13,0.05,0.13,0.15,0.15,0.23,0.13,0.13,0.23
Sophia Davis,0.15,0.19,0.05,0.88,0.09,0.19,0.05,0.09,0.09,0.0,0.23,0.15,0.15,0.05,0.09,0.05,0.19,0.19,0.09,0.09,0.15,0.0,0.15,0.05,0.27,0.19,0.09,0.19,0.19,0.05,0.15,0.0,0.09,0.19,0.19,0.19,0.15,0.19,0.17,0.05,0.09,0.05,0.05,0.23,0.13,0.15,0.23,0.19,0.09,0.09,0.19,0.19,0.88,0.15,0.05,0.0,0.05,0.05,0.0,0.19,0.09,0.15,0.05,0.05,0.15,0.19,0.05,0.15,0.19,0.19,0.27,0.19,0.05,0.09,0.09,0.9,0.15,0.05
Kennedy Fischer,0.17,0.13,0.23,0.15,0.98,0.13,0.23,0.15,0.23,0.0,0.05,0.13,0.13,0.23,0.98,0.23,0.13,0.13,0.23,0.23,0.92,0.0,0.13,0.23,0.05,0.13,0.23,0.13,0.13,0.15,0.13,0.0,0.15,0.13,0.05,0.13,0.17,0.13,0.15,0.15,0.23,0.13,0.15,0.05,0.19,0.05,0.8,0.13,0.98,0.23,0.13,0.13,0.15,0.13,0.19,0.0,0.23,0.23,0.0,0.13,0.23,0.13,0.15,0.23,0.13,0.05,0.23,0.13,0.13,0.88,0.05,0.13,0.15,0.15,0.23,0.13,0.13,0.23
Claire Harris,0.05,0.05,0.15,0.23,0.15,0.05,0.15,0.23,0.05,0.0,0.13,0.05,0.05,0.15,0.15,0.15,0.05,0.05,0.15,0.15,0.05,0.0,0.05,0.15,0.13,0.05,0.15,0.05,0.05,0.98,0.8,0.0,0.15,0.05,0.13,0.05,0.05,0.8,0.23,0.98,0.15,0.19,0.27,0.13,0.23,0.05,0.13,0.05,0.15,0.15,0.05,0.05,0.23,0.05,0.23,0.0,0.19,0.15,0.0,0.05,0.15,0.8,0.15,0.9,0.05,0.13,0.15,0.09,0.05,0.05,0.05,0.05,0.98,0.23,0.9,0.05,0.05,0.19
Jackson Gonzalez,0.05,0.05,0.15,0.23,0.15,0.05,0.94,0.23,0.05,0.0,0.13,0.05,0.05,0.15,0.15,0.19,0.05,0.8,0.15,0.15,0.05,0.0,0.84,0.94,0.13,0.05,0.15,0.05,0.05,0.23,0.05,0.0,0.15,0.05,0.13,0.05,0.05,0.05,0.98,0.23,0.15,0.05,0.23,0.13,0.23,0.05,0.13,0.05,0.15,0.15,0.05,0.05,0.23,0.05,0.23,0.0,0.15,0.15,0.0,0.05,0.15,0.05,0.15,0.15,0.09,0.13,0.94,0.05,0.05,0.05,0.13,0.05,0.23,0.23,0.15,0.09,0.05,0.15
Nathan Chen,0.15,0.19,0.05,0.13,0.09,0.19,0.05,0.17,0.09,0.0,0.23,0.15,0.15,0.05,0.09,0.05,0.19,0.19,0.09,0.09,0.15,0.0,0.15,0.05,0.27,0.94,0.09,0.19,0.94,0.13,0.15,0.0,0.09,0.19,0.27,0.19,0.15,0.19,0.17,0.13,0.84,0.05,0.13,0.23,0.13,0.15,0.23,0.94,0.09,0.09,0.19,0.19,0.13,0.15,0.13,0.0,0.05,0.05,0.0,0.94,0.09,0.15,0.05,0.05,0.15,0.27,0.05,0.15,0.94,0.19,1.0,0.19,0.13,0.92,0.09,0.15,0.15,0.8
Sarah Thompson,0.05,0.09,0.15,0.23,0.19,0.09,0.15,0.19,0.09,0.15,0.13,0.05,0.05,0.15,0.19,0.15,0.09,0.09,0.19,0.19,0.05,0.05,0.05,0.15,0.17,0.09,0.19,0.09,0.09,0.15,0.05,0.27,0.19,0.09,0.09,0.09,0.05,0.09,0.27,0.15,0.19,0.05,0.15,0.13,0.23,0.05,0.13,0.09,0.19,0.19,0.09,0.09,0.23,0.05,0.15,0.19,0.15,0.15,0.05,0.09,0.19,0.05,0.15,0.15,0.05,0.09,0.15,0.05,0.09,0.09,0.17,0.09,0.15,0.19,0.19,0.05,0.05,0.15
Nora Gupta,0.8,0.09,0.15,0.23,0.19,0.09,0.15,0.19,0.09,0.15,0.13,0.05,0.05,0.15,0.19,0.15,0.09,0.09,0.19,0.19,0.05,0.05,0.05,0.15,0.17,0.09,0.19,0.09,0.09,0.15,0.05,0.27,0.19,0.09,0.09,0.09,0.05,0.09,0.27,0.15,0.19,0.05,0.15,0.13,0.23,0.05,0.13,0.09,0.19,0.19,0.09,0.09,0.23,0.05,0.15,0.19,0.15,0.15,0.05,0.09,0.19,0.05,0.15,0.15,0.05,0.84,0.15,0.05,0.09,0.09,0.17,0.09,0.15,0.19,0.19,0.05,0.05,0.15
Aaron Butler,0.05,0.05,0.15,0.27,0.15,0.05,0.15,0.23,0.05,0.0,0.13,0.05,0.05,0.19,0.15,0.15,0.05,0.05,0.15,0.15,0.05,0.0,0.09,0.15,0.13,0.05,0.15,0.05,0.05,0.27,0.05,0.0,0.15,0.05,0.13,0.05,0.05,0.05,0.23,0.27,0.15,0.05,0.23,0.17,0.23,0.05,0.13,0.05,0.15,0.15,0.05,0.05,0.23,0.09,0.23,0.0,0.19,0.15,0.0,0.05,0.15,0.09,0.15,0.19,0.84,0.13,0.15,0.05,0.05,0.05,0.13,0.05,0.27,0.23,0.15,0.05,0.05,0.15
Lucas Roberts,0.05,0.05,0.15,0.23,0.15,0.05,0.15,0.13,0.05,0.19,0.13,0.05,0.05,0.15,0.15,0.15,0.05,0.05,0.15,0.15,0.05,0.13,0.05,0.15,0.13,0.05,0.15,0.05,0.05,0.23,0.05,0.23,0.15,0.05,0.13,0.05,0.05,0.05,0.23,0.13,0.15,0.05,0.23,0.13,0.23,0.05,0.13,0.05,0.15,0.15,0.05,0.05,0.23,0.05,0.23,0.15,0.15,0.15,0.05,0.05,0.15,0.05,0.15,0.15,0.05,0.13,0.15,0.05,0.05,0.05,0.13,0.05,0.23,0.23,0.15,0.05,0.05,0.15
Gabriella Fischer,0.8,0.09,0.15,0.23,0.19,0.09,0.15,0.27,0.09,0.15,0.13,0.05,0.05,0.15,0.09,0.15,0.09,0.09,0.19,0.19,0.05,0.13,0.05,0.15,0.17,0.09,0.19,0.09,0.09,0.23,0.05,0.27,0.19,0.09,0.17,0.09,0.05,0.09,0.27,0.23,0.19,0.05,0.23,0.13,0.23,0.05,0.13,0.09,0.19,0.19,0.09,0.09,0.23,0.05,0.23,0.19,0.15,0.15,0.05,0.09,0.19,0.05,0.15,0.15,0.05,0.92,0.15,0.05,0.09,0.09,0.17,0.09,0.23,0.27,0.19,0.05,0.05,0.15
Logan Thompson,0.09,0.05,0.15,0.23,0.15,0.05,0.15,0.23,0.05,0.0,0.13,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.15,0.09,0.0,0.05,0.15,0.13,0.8,0.15,0.05,0.8,0.23,0.05,0.0,0.15,0.05,0.13,0.05,0.09,0.05,0.23,0.23,0.9,0.19,0.27,0.13,0.27,0.05,0.13,0.8,0.15,0.05,0.05,0.05,0.23,0.05,0.27,0.0,0.19,0.15,0.0,0.8,0.15,0.05,0.15,0.15,0.05,0.13,0.15,0.09,0.8,0.05,0.88,0.05,0.23,0.98,0.15,0.05,0.05,0.94
Aaliyah Allen,0.17,0.13,0.23,0.15,0.23,0.13,1.0,0.15,0.13,0.0,0.05,0.13,0.13,0.23,0.13,0.27,0.13,0.88,0.23,0.23,0.17,0.0,0.92,1.0,0.05,0.13,0.23,0.13,0.13,0.15,0.13,0.0,0.15,0.13,0.05,0.13,0.13,0.13,0.9,0.15,0.23,0.13,0.15,0.05,0.15,0.05,0.05,0.13,0.23,0.13,0.13,0.13,0.15,0.13,0.15,0.0,0.27,0.23,0.0,0.13,0.23,0.13,0.15,0.23,0.17,0.05,1.0,0.13,0.13,0.13,0.05,0.13,0.15,0.15,0.23,0.17,0.13,0.23
Addison Scott,0.13,0.13,0.23,0.19,0.23,0.13,0.23,0.15,0.13,0.0,0.05,0.13,0.13,0.27,0.13,0.23,0.13,0.13,0.13,0.23,0.13,0.0,0.17,0.23,0.05,0.13,0.23,0.13,0.13,0.94,0.88,0.0,0.15,0.13,0.05,0.13,0.13,0.88,0.15,0.94,0.23,0.23,0.05,0.09,0.15,0.05,0.05,0.13,0.23,0.13,0.13,0.13,0.15,0.17,0.05,0.0,0.27,0.23,0.0,0.13,0.23,0.92,0.15,1.0,0.17,0.05,0.23,0.13,0.13,0.13,0.05,0.13,0.94,0.15,0.98,0.13,0.13,0.13
Kinsley White,0.13,0.17,0.23,0.15,1.0,0.17,0.23,0.19,0.17,0.0,0.05,0.13,0.13,0.23,0.92,0.23,0.17,0.17,0.27,0.27,0.88,0.0,0.13,0.23,0.09,0.17,0.27,0.17,0.17,0.15,0.13,0.0,0.19,0.17,0.09,0.17,0.13,0.17,0.19,0.15,0.27,0.13,0.15,0.05,0.15,0.05,0.8,0.17,1.0,0.17,0.17,0.17,0.15,0.13,0.15,0.0,0.23,0.23,0.0,0.17,0.27,0.13,0.15,0.23,0.13,0.09,0.23,0.13,0.17,0.92,0.09,0.17,0.15,0.19,0.27,0.13,0.13,0.23
