Mentee,Mentee_Email,Mentee_Phone,Mentee_Organization,Mentee_Bio,Mentee_Additional_Notes,Mentee_Field_1,Mentee_Field_2,Mentee_Field_3,Mentee_Field_4,Mentee_Field_5,Mentor,Mentor_Email,Mentor_Phone,Mentor_Bio,Mentor_Additional_Notes,Mentor_Field_1,Mentor_Field_2,Mentor_Field_3,Mentor_Field_4,Mentor_Field_5,Compatibility_Score
Gabriella Fischer,gabriella.fischer@yahoo.com,None,Nan|Graduate And Professional Students Assembly. (Gpsa),None,None,Consulting and strategy,"Finance, investment and financial services",Corporate and general management,"Biotech, pharmaceutical, life sciences, and medical devices",Medicine and healthcare,Dylan Clark,dylan70@outlook.com,None,None,None,Consulting and strategy,Retail and consumer goods,None,None,None,0.92
Julia Patel,julia51@hotmail.com,None,Nan|Graduate And Professional Students Assembly. (Gpsa),None,None,Medicine and healthcare,"Biotech, pharmaceutical, life sciences, and medical devices",Consulting and strategy,Academia and research,None,Samantha Hernandez,samanthahernandez@yahoo.com,None,None,None,Medicine and healthcare,None,None,None,None,1.0
Lillian Smith,lsmith@gmail.com,None,Nan|Graduate And Professional Students Assembly. (Gpsa),None,None,Law and legal services,Consulting and strategy,Corporate and general management,Business,"Finance, investment and financial services",Wyatt Reed,wreed@cornell.edu,None,None,None,Law and legal services,Entrepreneurship and startups,Business,None,None,0.98
Nora Gupta,nora_gupta@yahoo.com,None,Nan|Other,None,None,Consulting and strategy,Data and analytics,"Biotech, pharmaceutical, life sciences, and medical devices",Corporate and general management,"Journalism, publishing and communications",Dylan Clark,dylan70@outlook.com,None,None,None,Consulting and strategy,Retail and consumer goods,None,None,None,0.84
Sydney Flores,sflores@cornell.edu,None,Nan|Other,None,None,"Biotech, pharmaceutical, life sciences, and medical devices",Academia and research,Medicine and healthcare,Health and wellness,Business,Samantha Ramirez,samantharamirez@cornell.edu,None,None,None,"Biotech, pharmaceutical, life sciences, and medical devices",Medicine and healthcare,None,None,None,0.94
Addison Scott,addisonscott@yahoo.com,None,Other|Nan,None,None,Public service and government,Policy and advocacy,Law and legal services,Non-profit and social enterprise,Consulting and strategy,Adrian Ramos,adrianramos@gmail.com,None,None,None,Public service and government,Law and legal services,None,None,None,1.0
Gabriella Singh,gabriella.singh@outlook.com,None,Other|Nan,None,None,Non-profit and social enterprise,Health and wellness,Public service and government,Hospitality,Policy and advocacy,Scarlett Rivera,scarlett_rivera@cornell.edu,None,None,None,Non-profit and social enterprise,Policy and advocacy,None,None,None,0.98
Kinsley White,kwhite@gmail.com,None,Other|Nan,None,None,Medicine and healthcare,Health and wellness,Academia and research,None,None,Isaiah Fischer,isaiah64@cornell.edu,None,None,None,Medicine and healthcare,Academia and research,Entrepreneurship and startups,None,None,1.0
Logan Thompson,logan.thompson@hotmail.com,None,Other|Nan,None,None,Law and legal services,Policy and advocacy,Public service and government,None,None,Anna Taylor,ataylor@icloud.com,None,None,None,Law and legal services,Policy and advocacy,Public service and government,None,None,0.98
Melanie Nwosu,melanie.nwosu@icloud.com,None,Panhellenic/Multicultural Greek Fraternal Council|Other|Nan,None,None,"Finance, investment and financial services",Business,Law and legal services,Media and entertainment,Consulting and strategy,Adrian Bryant,adrian_bryant@cornell.edu,None,None,None,"Finance, investment and financial services",Retail and consumer goods,Entrepreneurship and startups,None,None,0.9
Nathan Chen,nathan_chen@gmail.com,None,Panhellenic/Multicultural Greek Fraternal Council|Other|Nan,None,None,Law and legal services,Policy and advocacy,Public service and government,Consulting and strategy,Business,Gabriella Hill,gabriella_hill@yahoo.com,None,None,None,Law and legal services,"Energy, sustainability and the environment",Policy and advocacy,Corporate and general management,"Biotech, pharmaceutical, life sciences, and medical devices",1.0
Sophia Davis,sophiadavis@cornell.edu,None,Panhellenic/Multicultural Greek Fraternal Council|Other|Nan,None,None,"Biotech, pharmaceutical, life sciences, and medical devices",Marketing,"Journalism, publishing and communications",Media and entertainment,None,Caleb Shah,calebshah@icloud.com,None,None,None,"Biotech, pharmaceutical, life sciences, and medical devices",Engineering,Corporate and general management,None,None,0.9
