Name,Role,Student_Level,Email,Phone_Number,Organization,Location,College,Career_Interests,Field_1,Field_2,Field_3,Field_4,Field_5,Bio,Additional_Notes
Lucas Roberts,Mentee,Graduate,lucas_roberts@cornell.edu,None,Nan|Other,East Coast U.S.|NYC Area,Weill Cornell Medicine (NYC),Work-Life Balance|Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|International Student Guidance|Transitioning From Academia To Industry Or Navigating Career Changes,Academia and research,Education,Data and analytics,"Biotech, pharmaceutical, life sciences, and medical devices","Journalism, publishing and communications",None,None
Wyatt Hassan,Mentee,Undergraduate,wyatt.hassan@icloud.com,None,Other|Nan,None,None,Work-Life Balance|Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Public Service And Non-Profit Careers|Networking,Medicine and healthcare,"Biotech, pharmaceutical, life sciences, and medical devices",Health and wellness,Psychology and social work,Academia and research,None,None
Yuna Nakamura,Mentee,Undergraduate,yuna_nakamura@cornell.edu,None,Panhellenic/Multicultural Greek Fraternal Council|Nan,West Coast U.S.,Cornell SC Johnson College Of Business|Nolan School Of Hotel Administration|Nolan School Of Hotel Administration,Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Navigating The Workforce|Networking,Real estate,Business,"Finance, investment and financial services",Hospitality,None,None,None
Charles Ahmed,Mentee,Graduate,charles48@yahoo.com,None,Nan|Other,None,Cornell Jeb E. Brooks School Of Public Policy,Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Navigating The Workforce|Public Service And Non-Profit Careers,Public service and government,Policy and advocacy,Law and legal services,Consulting and strategy,Academia and research,None,None
William Perez (2),Mentee,Graduate,william_perez@outlook.com,None,Nan|Other,East Coast U.S.,Cornell SC Johnson College Of Business,Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Transitioning From Academia To Industry Or Navigating Career Changes,Media and entertainment,"Finance, investment and financial services",Entrepreneurship and startups,Creative fields,Business,None,None
Evelyn Nwosu,Mentee,Undergraduate,evelynnwosu@icloud.com,None,First Gen|Nan,NYC Area,None,Work-Life Balance|Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|First Generation Student Guidance|Networking,Data and analytics,Consulting and strategy,"Biotech, pharmaceutical, life sciences, and medical devices",IT and technology,Non-profit and social enterprise,None,None
Hannah Gupta,Mentee,Graduate,hgupta@hotmail.com,None,Nan|Graduate And Professional Students Assembly. (Gpsa),None,None,Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Navigating The Workforce|International Student Guidance|Networking,Data and analytics,"Finance, investment and financial services",Consulting and strategy,Business,Retail and consumer goods,None,None
Sydney Johnson,Mentee,Undergraduate,sydney_johnson@yahoo.com,None,Women's Leadership Initiative (WLI)|First Gen|Nan,None,Charles H. Dyson School Of Applied Economics And Management|Cornell SC Johnson College Of Business|Charles H. Dyson School Of Applied Economics And Management|Cornell SC Johnson College Of Business|Charles H. Dyson School Of Applied Economics And Management,Work-Life Balance|Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Navigating The Workforce|Entrepreneurship And Startup Advice|Transitioning From Academia To Industry Or Navigating Career Changes|First Generation Student Guidance|Networking,Marketing,Design,Business,Consulting and strategy,Entrepreneurship and startups,None,None
Avery Nelson,Mentee,Graduate,avery86@icloud.com,None,Nan|Other,None,College Of Arts And Sciences|Cornell Ann S. Bowers College Of Computing And Information Science,Work-Life Balance|International Student Guidance|Networking,Data and analytics,IT and technology,Consulting and strategy,Business,Retail and consumer goods,None,None
David Khan,Mentee,Undergraduate,davidkhan@hotmail.com,None,Other|Nan,East Coast U.S.,College Of Arts And Sciences,Work-Life Balance|Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Networking,"Finance, investment and financial services",Corporate and general management,Data and analytics,Law and legal services,None,None,None
Evelyn Nelson,Mentee,Graduate,evelyn33@gmail.com,None,Nan|Graduate And Professional Students Assembly. (Gpsa),None,None,Navigating The Workforce|Public Service And Non-Profit Careers|Entrepreneurship And Startup Advice|Networking,Public service and government,IT and technology,Academia and research,Policy and advocacy,Entrepreneurship and startups,None,None
Liam Russell,Mentee,Graduate,liam50@icloud.com,None,Nan|Graduate And Professional Students Assembly. (Gpsa),None,None,Navigating The Workforce|Public Service And Non-Profit Careers|Entrepreneurship And Startup Advice|Networking,Public service and government,IT and technology,Academia and research,Policy and advocacy,Entrepreneurship and startups,None,None
Emma Weber,Mentee,Undergraduate,emma_weber@outlook.com,None,Panhellenic/Multicultural Greek Fraternal Council|Other|Nan,NYC Area,College Of Arts And Sciences,Work-Life Balance|Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Navigating The Workforce|Transitioning From Academia To Industry Or Navigating Career Changes|Networking,"Finance, investment and financial services",Business,Corporate and general management,Data and analytics,Consulting and strategy,None,None
Benjamin Nwosu,Mentee,Graduate,benjamin.nwosu@hotmail.com,None,Nan|Other,East Coast U.S.|West Coast U.S.|NYC Area|Western Europe|UK|East Asia|South Asia,Cornell SC Johnson College Of Business|MBA,Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|International Student Guidance|Networking,"Finance, investment and financial services",Entrepreneurship and startups,Corporate and general management,Consulting and strategy,Business,None,None
Savannah Suzuki,Mentee,Undergraduate,savannah.suzuki@icloud.com,None,Other|Nan,East Coast U.S.|East Asia|Midwest Us,College Of Agriculture And Life Sciences|College Of Engineering,Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Transitioning From Academia To Industry Or Navigating Career Changes|Networking,"Energy, sustainability and the environment",Engineering,Consulting and strategy,IT and technology,Academia and research,None,None
Olivia Bauer,Mentee,Graduate,oliviabauer@yahoo.com,None,Nan|Other,East Coast U.S.|UK,College Of Engineering,Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Navigating The Workforce|Networking,Medicine and healthcare,"Biotech, pharmaceutical, life sciences, and medical devices",Engineering,None,None,None,None
Madison Park,Mentee,Graduate,madison.park@yahoo.com,None,Nan|Other,None,Nolan School Of Hotel Administration,None,Business,Consulting and strategy,Corporate and general management,Academia and research,Creative fields,None,None
Nora Perez,Mentee,Graduate,noraperez@outlook.com,None,Nan|Other,None,None,Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Entrepreneurship And Startup Advice|International Student Guidance|Transitioning From Academia To Industry Or Navigating Career Changes|First Generation Student Guidance|Networking,Consulting and strategy,Psychology and social work,Entrepreneurship and startups,Academia and research,Health and wellness,None,None
Grace Kowalski,Mentee,Undergraduate,gkowalski@cornell.edu,None,Other|Nan,East Coast U.S.,College Of Engineering,Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Networking,"Biotech, pharmaceutical, life sciences, and medical devices",Academia and research,Law and legal services,Medicine and healthcare,None,None,None
Christian Miller,Mentee,Undergraduate,christian46@yahoo.com,None,Panhellenic/Multicultural Greek Fraternal Council|Nan,None,None,None,Public service and government,Law and legal services,Policy and advocacy,None,None,None,None
Maya Jones,Mentee,Undergraduate,mjones@yahoo.com,None,Panhellenic/Multicultural Greek Fraternal Council|Other|Nan,East Coast U.S.|NYC Area,Nolan School Of Hotel Administration,Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Navigating The Workforce|Networking,Business,Marketing,Corporate and general management,Real estate,Hospitality,None,None
Charlotte Baker,Mentee,Undergraduate,charlottebaker@hotmail.com,None,Panhellenic/Multicultural Greek Fraternal Council|Nan,None,None,Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Networking,Marketing,Business,Data and analytics,Media and entertainment,Retail and consumer goods,None,None
Julia Robinson,Mentee,Undergraduate,julia60@outlook.com,None,Panhellenic/Multicultural Greek Fraternal Council|Nan,West Coast U.S.|NYC Area,College Of Arts And Sciences,None,Psychology and social work,Business,Marketing,Policy and advocacy,Academia and research,None,None
Aisha Myers,Mentee,Undergraduate,aisha95@icloud.com,None,Building Ourselves Through Sisterhood and Service (BOSS)|Nan,East Coast U.S.|NYC Area|Western Europe|UK,College Of Arts And Sciences|Cornell Ann S. Bowers College Of Computing And Information Science,Work-Life Balance|Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Entrepreneurship And Startup Advice|Networking,Business,Data and analytics,Corporate and general management,"Biotech, pharmaceutical, life sciences, and medical devices",Architecture and urban planning,None,None
Claire Lee,Mentee,Undergraduate,clairelee@outlook.com,None,Other|Nan,East Coast U.S.|NYC Area,None,Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Public Service And Non-Profit Careers|Networking,"Biotech, pharmaceutical, life sciences, and medical devices",Policy and advocacy,Business,Health and wellness,Law and legal services,None,None
Jack Patel,Mentee,Undergraduate,jackpatel@icloud.com,None,Other|Nan,East Coast U.S.|NYC Area,College Of Arts And Sciences,Work-Life Balance|Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Navigating The Workforce|Public Service And Non-Profit Careers|Networking,Policy and advocacy,Law and legal services,Non-profit and social enterprise,Public service and government,Academia and research,None,None
Amelia Simmons,Mentee,Graduate,amelia.simmons@hotmail.com,None,Nan|Cornell Tech,East Coast U.S.|West Coast U.S.|NYC Area,Cornell SC Johnson College Of Business|The Samuel Curtis Johnson Graduate School Of Management.|The Samuel Curtis Johnson Graduate School Of Management.|Cornell Tech (NYC)|MBA,None,Consulting and strategy,IT and technology,Hospitality,Retail and consumer goods,None,None,None
Matthew Lin,Mentee,Graduate,matthew_lin@icloud.com,None,Nan|Cornell Tech,East Coast U.S.|West Coast U.S.|NYC Area|Western Europe|Eastern Europe|UK|East Asia|South Asia,None,None,Entrepreneurship and startups,Corporate and general management,IT and technology,Engineering,Business,None,None
Camila Harris,Mentee,Undergraduate,camilaharris@cornell.edu,None,GenEq - Gender Equity Resource Center|Nan,East Coast U.S.|NYC Area,College Of Engineering,None,Engineering,Design,Entrepreneurship and startups,Health and wellness,Medicine and healthcare,None,None
Avery Ali,Mentee,Undergraduate,avery_ali@gmail.com,None,Other|Nan,East Coast U.S.|NYC Area|Western Europe,College Of Agriculture And Life Sciences|Charles H. Dyson School Of Applied Economics And Management,Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Public Service And Non-Profit Careers|International Student Guidance|Networking,Data and analytics,IT and technology,Consulting and strategy,Non-profit and social enterprise,Business,None,None
Lily Wright,Mentee,Undergraduate,lily89@outlook.com,None,Other|Nan,None,None,Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.),Academia and research,"Biotech, pharmaceutical, life sciences, and medical devices",None,None,None,None,None
Savannah Cruz,Mentee,Graduate,savannah99@hotmail.com,None,Nan|Other,East Coast U.S.|West Coast U.S.|NYC Area|Western Europe,College Of Agriculture And Life Sciences|College Of Engineering,Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Navigating The Workforce|Entrepreneurship And Startup Advice|Transitioning From Academia To Industry Or Navigating Career Changes|Networking,"Energy, sustainability and the environment",Engineering,Academia and research,None,None,None,None
Aaliyah Martinez,Mentee,Graduate,amartinez@yahoo.com,None,Nan|Cornell Tech,None,Cornell Ann S. Bowers College Of Computing And Information Science,Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Transitioning From Academia To Industry Or Navigating Career Changes|Networking,Academia and research,IT and technology,Media and entertainment,Psychology and social work,Health and wellness,None,None
Aisha Sanchez,Mentee,Graduate,aisha.sanchez@gmail.com,None,Nan|Graduate And Professional Students Assembly. (Gpsa),East Coast U.S.,"College Of Agriculture And Life Sciences|Sociology, Design And Environmental Analysis|Sociology, Design And Environmental Analysis|City And Regional Planning, Government|City And Regional Planning, Government",Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Entrepreneurship And Startup Advice,Academia and research,"Journalism, publishing and communications",Non-profit and social enterprise,Creative fields,Entrepreneurship and startups,None,None
Matthew Fischer,Mentee,Graduate,matthewfischer@cornell.edu,None,Nan|Graduate And Professional Students Assembly. (Gpsa),None,College Of Arts And Sciences,Work-Life Balance|Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Navigating The Workforce|Transitioning From Academia To Industry Or Navigating Career Changes,Academia and research,Psychology and social work,Data and analytics,None,None,None,None
Aubrey Simmons,Mentee,Graduate,aubreysimmons@icloud.com,None,Nan|Other,East Coast U.S.,College Of Arts And Sciences,Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Transitioning From Academia To Industry Or Navigating Career Changes|Networking,Academia and research,"Journalism, publishing and communications",Education,None,None,None,None
Genesis Morales,Mentee,Graduate,genesismorales@outlook.com,None,Nan|Graduate And Professional Students Assembly. (Gpsa),None,Cornell SC Johnson College Of Business|Nolan School Of Hotel Administration|Cornell SC Johnson College Of Business|Nolan School Of Hotel Administration|The Samuel Curtis Johnson Graduate School Of Management.|MBA,Work-Life Balance|Entrepreneurship And Startup Advice|Transitioning From Academia To Industry Or Navigating Career Changes,Entrepreneurship and startups,"Journalism, publishing and communications",Hospitality,Health and wellness,Creative fields,None,None
Owen Nwosu,Mentee,Graduate,owennwosu@gmail.com,None,Nan|Graduate And Professional Students Assembly. (Gpsa),NYC Area|South America,"College Of Architecture, Art, And Planning|College Of Architecture, Art, And Planning|College Of Architecture, Art, And Planning|Cornell Jeb E. Brooks School Of Public Policy|City And Regional Planning, Government|City And Regional Planning, Government",Navigating The Workforce|Entrepreneurship And Startup Advice|International Student Guidance|First Generation Student Guidance|Networking,Architecture and urban planning,Public service and government,Corporate and general management,Academia and research,Entrepreneurship and startups,None,None
Abigail Hayes,Mentee,Graduate,abigail.hayes@gmail.com,None,Nan|Graduate And Professional Students Assembly. (Gpsa)|Other,None,College Of Engineering,Navigating The Workforce|Public Service And Non-Profit Careers,"Energy, sustainability and the environment",Non-profit and social enterprise,Education,Public service and government,Engineering,None,None
Oliver Anderson,Mentee,Graduate,oliver81@cornell.edu,None,Nan|Graduate And Professional Students Assembly. (Gpsa),East Coast U.S.|NYC Area|East Asia,Graduate School Field Of Study|Weill Cornell Medicine (NYC)|Weill Cornell Graduate School Of Medical Sciences (NYC),Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|International Student Guidance|Networking,Medicine and healthcare,"Biotech, pharmaceutical, life sciences, and medical devices",Academia and research,Consulting and strategy,Data and analytics,None,None
Alexander Taylor,Mentee,Graduate,ataylor@cornell.edu,None,Nan|Graduate And Professional Students Assembly. (Gpsa),None,None,Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Navigating The Workforce|Public Service And Non-Profit Careers|Transitioning From Academia To Industry Or Navigating Career Changes|Networking,Data and analytics,"Finance, investment and financial services",Design,Psychology and social work,Academia and research,None,None
Wyatt Moore,Mentee,Graduate,wyatt_moore@gmail.com,None,Nan|Graduate And Professional Students Assembly. (Gpsa),None,College Of Engineering,Public Service And Non-Profit Careers|Transitioning From Academia To Industry Or Navigating Career Changes,Non-profit and social enterprise,Engineering,"Energy, sustainability and the environment",None,None,None,None
Riley Eze,Mentee,Graduate,riley_eze@icloud.com,None,Nan|Graduate And Professional Students Assembly. (Gpsa),None,College Of Engineering,Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Navigating The Workforce|Entrepreneurship And Startup Advice|Transitioning From Academia To Industry Or Navigating Career Changes|Networking,"Biotech, pharmaceutical, life sciences, and medical devices",Entrepreneurship and startups,Engineering,Academia and research,Medicine and healthcare,None,None
