Name,Sarah Carter,Lillian Novak,Aubrey Robinson,Brooklyn Moore,Zoe Russell,Jocelyn Lopez,Lydia Sanchez,Gabriella Alexander,Nia Kowalski,Layla Mitchell,Layla Martin,Aubrey Weber,Arianna Ramos,Matthew Lopez,Naomi Green,Sarah Garcia,Emma Wang,Addison Campbell,Abigail Singh,Lena Singh,Scarlett Ramirez,Adrian Bryant,Zara Thompson,Noah Thompson,Sophia Anderson,Ava Perez,Naomi Ortiz,Owen Lin,Abigail Wang,Nadia Lopez,Imani Smith,Grace Mensah,Serena Ramirez,Kayla Kim,Wyatt Reed,Scarlett Rivera,Scarlett Griffin,Zara Hayes,Eli Park,Ella Gonzalez,Claire Thompson,Victoria Clark,Madison Khan,Luke Allen,Zoey Ramos,Samantha Kim,Owen Mitchell,Hunter Mitchell,Aiden Patel,Ryan Morales,Natalie Morales,Alexander Flores,William Perez,Noah Kim,Emma Anderson,Henry Perez,Nadia Tanaka,Lena Torres,Carter Flores,Evelyn Bauer,Gabriella Hill,Nadia Foster,Amara Klein,Isaiah Taylor,Kylie Klein,Luke Simmons
Lucas Roberts,0.05,0.05,0.15,0.23,0.05,0.13,0.05,0.19,0.13,0.05,0.05,0.15,0.05,0.05,0.15,0.15,0.05,0.13,0.05,0.15,0.13,0.05,0.05,0.05,0.23,0.05,0.23,0.15,0.05,0.13,0.05,0.05,0.05,0.13,0.15,0.05,0.23,0.13,0.23,0.05,0.13,0.05,0.15,0.05,0.05,0.05,0.23,0.15,0.15,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.15,0.05,0.05,0.05,0.13,0.05,0.23,0.15,0.05,0.15
Wyatt Hassan,0.13,0.17,0.23,0.15,0.17,0.19,0.17,0.0,0.05,0.13,0.13,0.23,0.17,0.17,0.27,0.27,0.88,0.0,0.13,0.23,0.09,0.17,0.17,0.17,0.15,0.13,0.0,0.19,0.17,0.09,0.17,0.13,0.17,0.15,0.27,0.23,0.15,0.05,0.15,0.05,0.8,0.17,0.27,0.17,0.17,0.13,0.15,0.0,0.23,0.23,0.0,0.17,0.27,0.13,0.15,0.13,0.23,0.13,0.17,0.92,0.09,0.17,0.15,0.27,0.13,0.23
Yuna Nakamura,0.05,0.05,0.15,0.15,0.05,0.15,0.05,0.0,0.09,0.05,0.05,0.15,0.05,0.05,0.15,0.15,0.05,0.0,0.05,0.15,0.05,0.05,0.05,0.05,0.15,0.05,0.0,0.23,0.05,0.05,0.05,0.05,0.05,0.15,0.15,0.05,0.15,0.05,0.15,0.13,0.05,0.05,0.05,0.05,0.05,0.05,0.15,0.0,0.15,0.19,0.0,0.05,0.15,0.05,0.15,0.05,0.15,0.05,0.05,0.05,0.05,0.05,0.15,0.15,0.09,0.15
Charles Ahmed,0.17,0.13,0.23,0.15,0.13,0.15,0.13,0.23,0.05,0.13,0.13,0.23,0.13,0.13,0.13,0.23,0.17,0.05,0.13,0.23,0.05,0.13,0.13,0.13,0.9,0.88,0.15,0.15,0.13,0.05,0.13,0.13,0.88,0.9,0.23,0.23,0.15,0.05,0.15,0.05,0.05,0.13,0.13,0.13,0.13,0.13,0.05,0.23,0.27,0.23,0.05,0.13,0.23,0.88,0.15,0.13,0.23,0.13,0.13,0.13,0.05,0.13,0.9,0.98,0.13,0.23
William Perez (2),0.05,0.05,0.15,0.23,0.05,0.13,0.05,0.15,0.13,0.05,0.05,0.15,0.05,0.05,0.05,0.15,0.05,0.13,0.05,0.15,0.13,0.05,0.05,0.05,0.23,0.05,0.23,0.9,0.05,0.13,0.05,0.05,0.05,0.13,0.15,0.05,0.13,0.13,0.23,0.05,0.13,0.05,0.9,0.05,0.05,0.05,0.13,0.15,0.15,0.15,0.09,0.05,0.15,0.05,0.15,0.05,0.15,0.05,0.05,0.05,0.05,0.05,0.23,0.15,0.09,0.05
Evelyn Nwosu,0.05,0.09,0.15,0.23,0.09,0.19,0.09,0.0,0.13,0.05,0.05,0.15,0.09,0.09,0.19,0.19,0.05,0.0,0.05,0.15,0.17,0.09,0.09,0.09,0.15,0.05,0.0,0.19,0.09,0.09,0.09,0.05,0.09,0.15,0.19,0.05,0.15,0.13,0.23,0.05,0.13,0.09,0.19,0.09,0.09,0.05,0.15,0.0,0.15,0.15,0.0,0.09,0.19,0.05,0.15,0.05,0.15,0.05,0.09,0.09,0.17,0.09,0.15,0.19,0.05,0.15
Hannah Gupta,0.13,0.17,0.23,0.15,0.17,0.19,0.17,0.23,0.05,0.13,0.13,0.23,0.17,0.17,0.27,0.27,0.13,0.05,0.13,0.23,0.09,0.17,0.17,0.17,0.15,0.13,0.19,0.19,0.17,0.09,0.17,0.13,0.17,0.15,0.27,0.13,0.15,0.05,0.15,0.05,0.05,0.17,0.17,0.17,0.17,0.13,0.15,0.27,0.23,0.23,0.05,0.17,0.27,0.13,0.15,0.13,0.23,0.13,0.17,0.17,0.09,0.17,0.15,0.27,0.13,0.23
Sydney Johnson,0.13,0.13,0.98,0.15,0.13,0.15,0.23,0.0,0.05,0.13,0.13,0.23,0.13,0.13,0.23,0.23,0.13,0.0,0.13,0.23,0.05,0.13,0.13,0.13,0.15,0.17,0.0,0.15,0.13,0.05,0.13,0.13,0.13,0.15,0.23,0.13,0.15,0.05,0.15,0.05,0.05,0.13,0.23,0.13,0.88,0.13,0.15,0.0,0.23,0.23,0.0,0.13,0.98,0.13,0.15,0.13,0.23,0.13,0.13,0.13,0.05,0.13,0.15,0.23,0.17,0.23
Avery Nelson,0.13,0.13,0.23,0.19,0.13,0.15,0.13,0.23,0.05,0.13,0.13,0.17,0.13,0.13,0.23,0.23,0.13,0.09,0.17,0.23,0.05,0.13,0.13,0.13,0.19,0.13,0.15,0.15,0.13,0.05,0.13,0.13,0.13,0.19,0.23,0.13,0.15,0.09,0.15,0.05,0.05,0.13,0.23,0.13,0.13,0.17,0.15,0.23,0.27,0.23,0.05,0.13,0.23,0.17,0.15,0.17,0.13,0.13,0.13,0.13,0.05,0.13,0.19,0.23,0.13,0.23
David Khan,0.05,0.8,0.15,0.27,0.8,0.23,0.05,0.0,0.13,0.05,0.05,0.19,0.05,0.05,0.15,0.15,0.05,0.0,0.09,0.15,0.13,0.05,0.05,0.05,0.27,0.05,0.0,0.15,0.05,0.13,0.05,0.05,0.05,0.27,0.15,0.05,0.23,0.17,0.23,0.05,0.13,0.05,0.15,0.05,0.05,0.09,0.23,0.0,0.19,0.15,0.0,0.05,0.15,0.09,0.15,0.09,0.15,0.05,0.05,0.05,0.05,0.05,0.27,0.15,0.05,0.15
Evelyn Nelson,0.13,0.17,0.23,0.15,0.17,0.19,0.27,0.23,0.05,0.13,0.13,0.13,0.17,0.17,0.27,0.27,0.13,0.05,0.13,0.23,0.09,0.17,0.17,0.17,0.9,0.88,0.19,0.19,0.17,0.09,0.17,0.13,0.92,0.9,0.27,0.23,0.15,0.05,0.15,0.05,0.05,0.17,0.17,0.17,0.17,0.13,0.15,0.27,0.23,0.23,0.05,0.17,0.27,0.88,0.15,0.13,0.23,0.13,0.17,0.17,0.09,0.17,0.9,1.0,0.13,0.23
Liam Russell,0.13,0.17,0.23,0.15,0.17,0.19,0.27,0.23,0.05,0.13,0.13,0.13,0.17,0.17,0.27,0.27,0.13,0.05,0.13,0.23,0.09,0.17,0.17,0.17,0.9,0.88,0.19,0.19,0.17,0.09,0.17,0.13,0.92,0.9,0.27,0.23,0.15,0.05,0.15,0.05,0.05,0.17,0.17,0.17,0.17,0.13,0.15,0.27,0.23,0.23,0.05,0.17,0.27,0.88,0.15,0.13,0.23,0.13,0.17,0.17,0.09,0.17,0.9,1.0,0.13,0.23
Emma Weber,0.05,0.8,0.15,0.27,0.8,0.15,0.05,0.0,0.13,0.05,0.05,0.19,0.05,0.05,0.15,0.15,0.05,0.0,0.09,0.15,0.13,0.05,0.05,0.05,0.19,0.05,0.0,0.15,0.05,0.05,0.05,0.05,0.05,0.19,0.15,0.05,0.15,0.17,0.23,0.05,0.13,0.05,0.15,0.05,0.05,0.09,0.15,0.0,0.19,0.15,0.0,0.05,0.15,0.09,0.15,0.09,0.15,0.05,0.05,0.05,0.13,0.05,0.19,0.15,0.05,0.15
Benjamin Nwosu,0.05,0.8,0.15,0.23,0.8,0.23,0.05,0.15,0.13,0.05,0.05,0.15,0.05,0.05,0.15,0.15,0.05,0.13,0.05,0.15,0.13,0.05,0.05,0.05,0.23,0.05,0.23,0.23,0.05,0.13,0.05,0.05,0.05,0.23,0.15,0.05,0.23,0.13,0.23,0.13,0.13,0.05,0.05,0.05,0.05,0.05,0.23,0.15,0.15,0.15,0.92,0.05,0.15,0.05,0.15,0.05,0.15,0.05,0.05,0.05,0.13,0.05,0.23,0.15,0.09,0.15
Savannah Suzuki,0.05,0.05,0.19,0.23,0.05,0.23,0.05,0.0,0.13,0.09,0.05,0.15,0.05,0.05,0.15,0.15,0.05,0.0,0.09,0.19,0.13,0.05,0.05,0.05,0.23,0.09,0.0,0.15,0.05,0.13,0.05,0.8,0.05,0.23,0.15,0.05,0.23,0.13,0.23,0.05,0.17,0.05,0.15,0.05,0.05,0.05,0.23,0.0,0.15,0.15,0.0,0.05,0.15,0.05,0.19,0.09,0.19,0.05,0.05,0.05,0.05,0.05,0.23,0.15,0.05,0.15
Olivia Bauer,0.05,0.05,0.15,0.23,0.05,0.23,0.05,0.9,0.13,0.05,0.05,0.15,0.05,0.05,0.15,0.15,0.8,0.13,0.09,0.19,0.13,0.05,0.05,0.05,0.23,0.05,0.23,0.15,0.05,0.13,0.05,0.05,0.05,0.23,0.15,0.05,0.23,0.13,0.23,0.05,0.88,0.05,0.05,0.05,0.05,0.05,0.23,0.15,0.15,0.15,0.05,0.05,0.15,0.05,0.15,0.09,0.19,0.05,0.05,0.8,0.05,0.05,0.23,0.15,0.05,0.15
Madison Park,0.23,0.23,0.13,0.05,0.23,0.05,0.13,0.13,0.19,0.23,0.23,0.13,0.23,0.23,0.13,0.13,0.23,0.15,0.23,0.13,0.15,0.23,0.98,0.23,0.05,0.23,0.05,0.05,0.23,0.9,0.23,0.23,0.23,0.05,0.13,0.13,0.05,0.15,0.05,0.15,0.15,0.23,0.13,0.23,0.23,0.23,0.05,0.13,0.13,0.17,0.15,0.23,0.13,0.23,0.05,0.23,0.13,0.23,0.23,0.23,0.15,0.23,0.05,0.13,0.98,0.13
Nora Perez,0.88,0.17,0.23,0.15,0.17,0.19,0.27,0.23,0.05,0.13,0.13,0.23,0.17,0.17,0.27,0.27,0.13,0.05,0.13,0.23,0.09,0.17,0.17,0.17,0.15,0.13,0.19,0.19,0.17,0.09,0.17,0.13,0.17,0.15,0.27,0.13,0.15,0.05,0.15,0.05,0.05,0.17,0.27,0.17,0.17,0.13,0.15,0.27,0.23,0.23,0.05,0.17,0.27,0.13,0.15,0.13,0.23,0.13,0.17,0.17,0.09,0.17,0.15,0.27,0.13,0.23
Grace Kowalski,0.05,0.05,0.15,0.98,0.05,0.23,0.05,0.0,0.13,0.05,0.05,0.15,0.05,0.05,0.15,0.15,0.05,0.0,0.09,0.19,0.13,0.05,0.05,0.05,0.23,0.05,0.0,0.15,0.05,0.13,0.05,0.05,0.05,0.23,0.15,0.05,0.23,0.13,0.23,0.05,0.13,0.05,0.05,0.05,0.05,0.05,0.23,0.0,0.15,0.15,0.0,0.05,0.15,0.05,0.15,0.09,0.19,0.05,0.05,0.05,0.05,0.05,0.23,0.15,0.05,0.15
Christian Miller,0.23,0.27,0.13,0.05,0.27,0.09,0.17,0.0,0.15,0.23,0.23,0.13,0.27,0.27,0.17,0.17,0.23,0.0,0.23,0.13,0.19,0.27,0.27,0.27,0.8,0.98,0.0,0.09,0.27,0.19,0.27,0.23,1.0,0.8,0.17,0.13,0.05,0.15,0.05,0.15,0.15,0.27,0.17,0.27,0.27,0.23,0.05,0.0,0.13,0.13,0.0,0.27,0.17,0.98,0.05,0.23,0.13,0.23,0.27,0.27,0.19,0.27,0.8,0.92,0.23,0.13
Maya Jones,0.05,0.05,0.15,0.23,0.05,0.23,0.05,0.0,0.17,0.05,0.05,0.15,0.05,0.05,0.15,0.15,0.05,0.0,0.05,0.15,0.13,0.05,0.8,0.05,0.23,0.05,0.0,0.15,0.05,0.88,0.05,0.05,0.05,0.23,0.15,0.05,0.23,0.13,0.23,0.05,0.13,0.05,0.05,0.05,0.05,0.05,0.23,0.0,0.15,0.19,0.0,0.05,0.15,0.05,0.15,0.05,0.15,0.05,0.05,0.05,0.13,0.05,0.23,0.15,0.8,0.15
Charlotte Baker,0.13,0.17,0.98,0.15,0.17,0.19,0.17,0.0,0.05,0.13,0.13,0.23,0.17,0.17,0.27,0.27,0.13,0.0,0.13,0.23,0.09,0.17,0.17,0.17,0.15,0.13,0.0,0.19,0.17,0.09,0.17,0.13,0.17,0.15,0.27,0.13,0.15,0.05,0.15,0.05,0.05,0.17,0.17,0.17,0.92,0.13,0.15,0.0,0.23,0.23,0.0,0.17,1.0,0.13,0.15,0.13,0.23,0.13,0.17,0.17,0.09,0.17,0.15,0.27,0.13,0.23
Julia Robinson,0.15,0.15,0.05,0.17,0.15,0.05,0.05,0.0,0.23,0.15,0.15,0.84,0.15,0.15,0.05,0.05,0.15,0.0,0.19,0.05,0.23,0.15,0.15,0.15,0.09,0.15,0.0,0.13,0.15,0.15,0.15,0.15,0.15,0.09,0.05,0.05,0.05,0.27,0.88,0.23,0.23,0.15,0.05,0.15,0.15,0.19,0.8,0.0,0.09,0.05,0.0,0.15,0.05,0.19,0.05,0.19,0.05,0.15,0.15,0.15,0.23,0.15,0.09,0.05,0.15,0.05
Aisha Myers,0.05,0.05,0.15,0.27,0.05,0.23,0.15,0.0,0.13,0.05,0.05,0.19,0.05,0.05,0.15,0.15,0.05,0.0,0.09,0.15,0.13,0.05,0.8,0.05,0.27,0.05,0.0,0.15,0.05,0.88,0.05,0.05,0.05,0.27,0.15,0.05,0.23,0.17,0.23,0.05,0.13,0.05,0.15,0.05,0.05,0.09,0.23,0.0,0.19,0.15,0.0,0.05,0.15,0.09,0.15,0.09,0.15,0.05,0.05,0.05,0.13,0.05,0.27,0.15,0.8,0.15
Claire Lee,0.05,0.09,0.15,0.98,0.09,0.27,0.09,0.0,0.13,0.05,0.05,0.15,0.09,0.09,0.19,0.19,0.05,0.0,0.05,0.15,0.17,0.09,0.09,0.09,0.23,0.05,0.0,0.19,0.09,0.17,0.09,0.05,0.09,0.23,0.19,0.15,0.23,0.13,0.23,0.05,0.13,0.09,0.09,0.09,0.09,0.05,0.23,0.0,0.15,0.15,0.0,0.09,0.19,0.05,0.15,0.05,0.15,0.05,0.09,0.09,0.17,0.09,0.23,0.19,0.05,0.15
Jack Patel,0.05,0.05,0.15,0.27,0.05,0.98,0.05,0.0,0.13,0.05,0.05,0.19,0.05,0.05,0.15,0.15,0.05,0.0,0.09,0.15,0.13,0.05,0.05,0.05,0.27,0.05,0.0,0.15,0.05,0.13,0.05,0.05,0.05,0.27,0.15,0.15,0.23,0.17,0.23,0.05,0.13,0.05,0.15,0.05,0.05,0.09,0.23,0.0,0.94,0.15,0.0,0.05,0.15,0.09,0.15,0.09,0.15,0.05,0.05,0.05,0.13,0.05,0.27,0.15,0.05,0.15
Amelia Simmons,0.9,0.15,0.05,0.13,0.15,0.13,0.05,0.05,0.23,0.15,0.15,0.05,0.15,0.15,0.05,0.05,0.15,0.23,0.15,0.05,0.23,0.15,0.15,0.15,0.13,0.15,0.13,0.13,0.15,0.23,0.15,0.15,0.15,0.13,0.05,0.05,0.13,0.23,0.13,0.23,0.23,0.15,0.05,0.15,0.15,0.15,0.13,0.05,0.05,0.05,0.27,0.15,0.05,0.15,0.05,0.15,0.05,0.15,0.15,0.15,0.23,0.15,0.13,0.05,0.19,0.05
Matthew Lin,0.15,0.19,0.05,0.13,0.19,0.17,0.84,0.05,0.23,0.15,0.15,0.05,0.19,0.19,0.09,0.09,0.15,0.23,0.15,0.05,1.0,0.19,0.19,0.19,0.13,0.15,0.17,0.17,0.19,0.27,0.19,0.15,0.19,0.13,0.09,0.05,0.13,0.23,0.13,0.23,0.23,0.19,0.09,0.19,0.19,0.15,0.13,0.84,0.05,0.05,0.23,0.19,0.09,0.15,0.05,0.15,0.05,0.15,0.19,0.19,0.27,0.19,0.13,0.09,0.15,0.05
Camila Harris,0.15,0.15,0.05,0.13,0.15,0.13,0.05,0.0,0.23,0.15,0.15,0.05,0.15,0.9,0.05,0.05,0.15,0.0,0.94,0.84,0.23,0.15,0.15,0.15,0.13,0.15,0.0,0.05,0.15,0.23,0.15,0.15,0.15,0.13,0.05,0.05,0.13,0.23,0.13,0.15,0.23,0.15,0.05,0.15,0.15,0.15,0.13,0.0,0.05,0.05,0.0,0.15,0.05,0.15,0.05,0.19,0.84,0.15,0.15,0.15,0.23,0.15,0.13,0.05,0.15,0.05
Avery Ali,0.05,0.05,0.19,0.23,0.05,0.23,0.05,0.0,0.13,0.09,0.05,0.15,0.05,0.05,0.15,0.15,0.05,0.0,0.05,0.15,0.13,0.05,0.05,0.05,0.23,0.09,0.0,0.15,0.05,0.13,0.05,0.05,0.05,0.23,0.15,0.15,0.23,0.13,0.23,0.05,0.17,0.05,0.05,0.05,0.05,0.05,0.23,0.0,0.15,0.15,0.0,0.05,0.15,0.05,0.19,0.05,0.15,0.05,0.05,0.05,0.13,0.05,0.23,0.15,0.05,0.15
Lily Wright,0.13,0.17,0.23,0.15,0.17,0.09,0.17,0.0,0.05,0.13,0.13,0.23,0.17,0.17,0.17,0.27,0.13,0.0,0.13,0.23,0.09,0.17,0.17,0.17,0.15,0.13,0.0,0.19,0.17,0.09,0.17,0.13,0.17,0.05,0.27,0.13,0.05,0.05,0.15,0.05,0.05,0.17,0.17,0.17,0.17,0.13,0.05,0.0,0.23,0.23,0.0,0.17,0.27,0.13,0.15,0.13,0.23,0.13,0.17,0.17,0.09,0.17,0.15,0.27,0.13,0.13
Savannah Cruz,0.05,0.05,0.19,0.23,0.05,0.23,0.15,0.15,0.13,0.09,0.05,0.15,0.05,0.05,0.15,0.15,0.05,0.13,0.09,0.19,0.13,0.05,0.05,0.05,0.23,0.09,0.23,0.23,0.05,0.13,0.05,0.8,0.05,0.23,0.15,0.05,0.23,0.13,0.23,0.13,0.17,0.05,0.15,0.05,0.05,0.05,0.23,0.15,0.15,0.15,0.13,0.05,0.15,0.05,0.19,0.09,0.19,0.05,0.05,0.05,0.13,0.05,0.23,0.15,0.05,0.15
Aaliyah Martinez,0.13,0.13,0.23,0.15,0.13,0.15,0.13,0.23,0.05,0.13,0.13,0.23,0.13,0.13,0.23,0.23,0.13,0.05,0.13,0.23,0.05,0.13,0.13,0.13,0.15,0.13,0.15,0.15,0.13,0.05,0.13,0.13,0.13,0.15,0.23,0.13,0.15,0.05,0.15,0.05,0.05,0.13,0.23,0.13,0.13,0.13,0.15,0.23,0.23,0.23,0.05,0.13,0.23,0.13,0.15,0.13,0.23,0.13,0.13,0.13,0.05,0.13,0.15,0.23,0.13,0.23
Aisha Sanchez,0.05,0.05,0.19,0.23,0.05,0.13,0.15,0.15,0.13,0.09,0.05,0.15,0.05,0.05,0.05,0.15,0.05,0.13,0.05,0.15,0.13,0.05,0.05,0.05,0.23,0.09,0.23,0.15,0.05,0.13,0.05,0.09,0.05,0.13,0.15,0.05,0.13,0.13,0.23,0.05,0.17,0.05,0.05,0.05,0.05,0.05,0.13,0.15,0.19,0.15,0.05,0.05,0.15,0.05,0.19,0.05,0.15,0.05,0.05,0.05,0.05,0.05,0.23,0.15,0.05,0.05
Matthew Fischer,0.13,0.13,0.23,0.19,0.13,0.05,0.13,0.23,0.05,0.13,0.13,0.27,0.13,0.13,0.23,0.23,0.13,0.09,0.17,0.23,0.05,0.13,0.13,0.13,0.19,0.13,0.15,0.15,0.13,0.05,0.13,0.13,0.13,0.09,0.23,0.13,0.15,0.09,0.15,0.05,0.05,0.13,0.23,0.13,0.13,0.17,0.15,0.23,0.27,0.23,0.05,0.13,0.23,0.17,0.15,0.17,0.23,0.13,0.13,0.13,0.05,0.13,0.19,0.23,0.13,0.23
Aubrey Simmons,0.05,0.05,0.15,0.27,0.05,0.23,0.05,0.15,0.13,0.05,0.05,0.19,0.05,0.05,0.15,0.15,0.05,0.17,0.09,0.15,0.13,0.05,0.05,0.05,0.27,0.05,0.23,0.15,0.05,0.13,0.05,0.05,0.05,0.27,0.15,0.05,0.23,0.17,0.23,0.05,0.13,0.05,0.15,0.05,0.05,0.09,0.23,0.15,0.19,0.15,0.05,0.05,0.15,0.09,0.15,0.09,0.15,0.05,0.05,0.05,0.05,0.05,0.27,0.15,0.05,0.15
Genesis Morales,0.13,0.13,0.23,0.15,0.13,0.05,0.98,0.23,0.09,0.13,0.13,0.13,0.13,0.13,0.23,0.13,0.13,0.05,0.13,0.23,0.8,0.13,0.13,0.13,0.15,0.13,0.15,0.15,0.13,0.05,0.13,0.13,0.13,0.05,0.23,0.13,0.15,0.05,0.15,0.05,0.05,0.13,0.23,0.13,0.13,0.13,0.15,0.98,0.23,0.27,0.09,0.13,0.23,0.13,0.15,0.13,0.13,0.13,0.13,0.13,0.05,0.13,0.15,0.23,0.17,0.23
