Name,Role,Student_Level,Email,Phone_Number,Organization,Location,College,Career_Interests,Field_1,Field_2,Field_3,Field_4,Field_5,Bio,Additional_Notes
Ava Wilson,Mentee,Graduate,awilson@icloud.com,,Nan|Graduate And Professional Students Assembly. (Gpsa),,School Of Veterinary Medicine|Graduate School Field Of Study,Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Navigating The Workforce|Entrepreneurship And Startup Advice|First Generation Student Guidance|Networking,Health and wellness,"Energy, sustainability and the environment",Entrepreneurship and startups,Medicine and healthcare,Policy and advocacy,,
Hannah Gupta,Mentee,Graduate,hgupta@hotmail.com,,Nan|Graduate And Professional Students Assembly. (Gpsa),,,Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Navigating The Workforce|International Student Guidance|Networking,Data and analytics,"Finance, investment and financial services",Consulting and strategy,Business,Retail and consumer goods,,
Jackson Foster,Mentee,Graduate,jackson_foster@outlook.com,,Nan|Graduate And Professional Students Assembly. (Gpsa),East Coast U.S.|NYC Area|East Asia,College Of Arts And Sciences,Work-Life Balance|Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Public Service And Non-Profit Careers|International Student Guidance|Transitioning From Academia To Industry Or Navigating Career Changes|First Generation Student Guidance|Networking,Academia and research,Consulting and strategy,Education,Psychology and social work,Policy and advocacy,,
Matthew Fischer,Mentee,Graduate,matthewfischer@cornell.edu,,Nan|Graduate And Professional Students Assembly. (Gpsa),,College Of Arts And Sciences,Work-Life Balance|Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Navigating The Workforce|Transitioning From Academia To Industry Or Navigating Career Changes,Academia and research,Psychology and social work,Data and analytics,,,,
Riley Eze,Mentee,Graduate,riley_eze@icloud.com,,Nan|Graduate And Professional Students Assembly. (Gpsa),,College Of Engineering,Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Navigating The Workforce|Entrepreneurship And Startup Advice|Transitioning From Academia To Industry Or Navigating Career Changes|Networking,"Biotech, pharmaceutical, life sciences, and medical devices",Entrepreneurship and startups,Engineering,Academia and research,Medicine and healthcare,,
Aubrey Simmons,Mentee,Graduate,aubreysimmons@icloud.com,,Nan|Other,East Coast U.S.,College Of Arts And Sciences,Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Transitioning From Academia To Industry Or Navigating Career Changes|Networking,Academia and research,"Journalism, publishing and communications",Education,,,,
Avery Nelson,Mentee,Graduate,avery86@icloud.com,,Nan|Other,,College Of Arts And Sciences|Cornell Ann S. Bowers College Of Computing And Information Science,Work-Life Balance|International Student Guidance|Networking,Data and analytics,IT and technology,Consulting and strategy,Business,Retail and consumer goods,,
Lucas Roberts,Mentee,Graduate,lucas_roberts@cornell.edu,,Nan|Other,East Coast U.S.|NYC Area,Weill Cornell Medicine (NYC),Work-Life Balance|Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|International Student Guidance|Transitioning From Academia To Industry Or Navigating Career Changes,Academia and research,Education,Data and analytics,"Biotech, pharmaceutical, life sciences, and medical devices","Journalism, publishing and communications",,
Sarah Thompson,Mentee,Graduate,sarah17@gmail.com,,Nan|Other,NYC Area,,Work-Life Balance|Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Networking,Academia and research,"Biotech, pharmaceutical, life sciences, and medical devices",Education,Public service and government,,,
Savannah Cruz,Mentee,Graduate,savannah99@hotmail.com,,Nan|Other,East Coast U.S.|West Coast U.S.|NYC Area|Western Europe,College Of Agriculture And Life Sciences|College Of Engineering,Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Navigating The Workforce|Entrepreneurship And Startup Advice|Transitioning From Academia To Industry Or Navigating Career Changes|Networking,"Energy, sustainability and the environment",Engineering,Academia and research,,,,
Avery Ali,Mentee,Undergraduate,avery_ali@gmail.com,,Other|Nan,East Coast U.S.|NYC Area|Western Europe,College Of Agriculture And Life Sciences|Charles H. Dyson School Of Applied Economics And Management,Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Public Service And Non-Profit Careers|International Student Guidance|Networking,Data and analytics,IT and technology,Consulting and strategy,Non-profit and social enterprise,Business,,
Grace Kowalski,Mentee,Undergraduate,gkowalski@cornell.edu,,Other|Nan,East Coast U.S.,College Of Engineering,Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Networking,"Biotech, pharmaceutical, life sciences, and medical devices",Academia and research,Law and legal services,Medicine and healthcare,,,
Kaylee Nguyen,Mentee,Undergraduate,kaylee.nguyen@gmail.com,,Other|Nan,,College Of Arts And Sciences,Work-Life Balance|Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Transitioning From Academia To Industry Or Navigating Career Changes|Networking,Academia and research,"Biotech, pharmaceutical, life sciences, and medical devices",Medicine and healthcare,"Journalism, publishing and communications","Energy, sustainability and the environment",,
Lily Wright,Mentee,Undergraduate,lily89@outlook.com,,Other|Nan,,,Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.),Academia and research,"Biotech, pharmaceutical, life sciences, and medical devices",,,,,
Yuna Nakamura,Mentee,Undergraduate,yuna_nakamura@cornell.edu,,Panhellenic/Multicultural Greek Fraternal Council|Nan,West Coast U.S.,Cornell SC Johnson College Of Business|Nolan School Of Hotel Administration|Nolan School Of Hotel Administration,Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Navigating The Workforce|Networking,Real estate,Business,"Finance, investment and financial services",Hospitality,,,
