Name,Role,Email,Phone_Number,Organization,Location,College,Career_Interests,Field_1,Field_2,Field_3,Field_4,Field_5,Bio,Additional_Notes,Mentor_Level_Preferences,Remaining_Capacity
Ava Perez,Mentor,aperez@cornell.edu,,Nan|Nan,,College Of Agriculture And Life Sciences|Charles H. Dyson School Of Applied Economics And Management|Charles H. Dyson School Of Applied Economics And Management,,Public service and government,Corporate and general management,IT and technology,Business,,,,"Undergraduate students, Graduate students",3
Naomi Ortiz,Mentor,nortiz@hotmail.com,,Nan|Nan,East Coast U.S.|West Coast U.S.|NYC Area,,Work-Life Balance|Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Navigating The Workforce|First Generation Student Guidance,Psychology and social work,Medicine and healthcare,Academia and research,Health and wellness,,,,Graduate students,1
Owen Lin,Mentor,owenlin@cornell.edu,,Nan|Nan,West Coast U.S.,,Work-Life Balance|Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Navigating The Workforce|Networking,Media and entertainment,"Journalism, publishing and communications",,,,,,"Undergraduate students, Graduate students",1
Abigail Wang,Mentor,abigail.wang@outlook.com,,Nan|Nan,,,,Non-profit and social enterprise,Policy and advocacy,Public service and government,,,,,Undergraduate students,1
Imani Smith,Mentor,ismith@cornell.edu,,Nan|Nan,,,,Non-profit and social enterprise,Academia and research,,,,,,Undergraduate students,2
Kayla Kim,Mentor,kayla85@gmail.com,,Nan|Nan,East Coast U.S.,College Of Arts And Sciences,Public Service And Non-Profit Careers|Networking,Public service and government,Creative fields,Policy and advocacy,"Journalism, publishing and communications",Non-profit and social enterprise,,,Undergraduate students,1
Wyatt Reed,Mentor,wreed@cornell.edu,,Nan|Nan,,,Work-Life Balance|Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Entrepreneurship And Startup Advice|Transitioning From Academia To Industry Or Navigating Career Changes|Networking,Law and legal services,Entrepreneurship and startups,Business,,,,,"Undergraduate students, Graduate students",1
Scarlett Griffin,Mentor,scarlett.griffin@outlook.com,,Nan|Nan,East Coast U.S.,School Of Industrial And Labor Relations,Work-Life Balance|Navigating The Workforce|Networking,Hospitality,Human resources,Law and legal services,,,,,Undergraduate students,1
Zara Hayes,Mentor,zarahayes@outlook.com,,Nan|Nan,East Coast U.S.|NYC Area,College Of Arts And Sciences,,"Journalism, publishing and communications",Public service and government,Policy and advocacy,Non-profit and social enterprise,,,,"Undergraduate students, Graduate students",2
Ella Gonzalez,Mentor,ellagonzalez@yahoo.com,,Nan|Nan,West Coast U.S.|Puerto Rico Or Latin America,School Of Veterinary Medicine,,Veterinary medicine,Academia and research,,,,,,Undergraduate students,1
Victoria Clark,Mentor,victoria.clark@outlook.com,,Nan|Nan,,,,Law and legal services,Human resources,Public service and government,Corporate and general management,,,,"Undergraduate students, Graduate students",3
Madison Khan,Mentor,mkhan@hotmail.com,,Nan|Nan,,,Work-Life Balance|Transitioning From Academia To Industry Or Navigating Career Changes,Media and entertainment,Creative fields,"Journalism, publishing and communications",,,,,"Undergraduate students, Graduate students",1
Luke Allen,Mentor,luke.allen@outlook.com,,Nan|Nan,,,,Education,Creative fields,Real estate,Policy and advocacy,Academia and research,,,Undergraduate students,1
Zoey Ramos,Mentor,zramos@cornell.edu,,Nan|Nan,,,,Marketing,Business,,,,,,Undergraduate students,1
Samantha Kim,Mentor,samantha_kim@hotmail.com,,Nan|Nan,,College Of Arts And Sciences,,Corporate and general management,Policy and advocacy,Medicine and healthcare,,,,,Undergraduate students,1
Owen Mitchell,Mentor,owenmitchell@yahoo.com,,Nan|Nan,East Coast U.S.,College Of Human Ecology,Work-Life Balance|Networking,Psychology and social work,Health and wellness,,,,,,Undergraduate students,1
Aiden Patel,Mentor,aidenpatel@cornell.edu,,Nan|Nan,,"College Of Arts And Sciences|School Of Industrial And Labor Relations|Cornell Jeb E. Brooks School Of Public Policy|City And Regional Planning, Government|City And Regional Planning, Government",Work-Life Balance|Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Navigating The Workforce|Public Service And Non-Profit Careers|First Generation Student Guidance|Networking,Policy and advocacy,Public service and government,Non-profit and social enterprise,,,,,Undergraduate students,2
Ryan Morales,Mentor,ryan_morales@outlook.com,,Nan|Nan,,Nolan School Of Hotel Administration,Work-Life Balance|Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Navigating The Workforce,Hospitality,Marketing,Real estate,Business,Creative fields,,,Undergraduate students,1
Alexander Flores,Mentor,alexander.flores@gmail.com,,Nan|Nan,,,,Law and legal services,Medicine and healthcare,Corporate and general management,Business,,,,Undergraduate students,1
Noah Kim,Mentor,noah_kim@outlook.com,,Nan|Nan,,College Of Arts And Sciences,,Public service and government,Policy and advocacy,IT and technology,Corporate and general management,Consulting and strategy,,,"Undergraduate students, Graduate students",1
Emma Anderson,Mentor,emmaanderson@hotmail.com,,Nan|Nan,Southern Us,College Of Agriculture And Life Sciences|School Of Veterinary Medicine,Work-Life Balance|Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Navigating The Workforce|Entrepreneurship And Startup Advice,Veterinary medicine,Business,,,,,,"Undergraduate students, Graduate students",1
Henry Perez,Mentor,henry.perez@cornell.edu,,Nan|Nan,,College Of Arts And Sciences|College Of Engineering,,IT and technology,Engineering,,,,,,Undergraduate students,1
Nadia Tanaka,Mentor,nadia48@outlook.com,,Nan|Nan,,College Of Engineering,Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Navigating The Workforce|Public Service And Non-Profit Careers,Engineering,IT and technology,"Biotech, pharmaceutical, life sciences, and medical devices",,,,,Undergraduate students,1
Lena Torres,Mentor,ltorres@cornell.edu,,Nan|Nan,,School Of Industrial And Labor Relations,,Human resources,Corporate and general management,Business,Consulting and strategy,,,,"Undergraduate students, Graduate students",2
Carter Flores,Mentor,carter.flores@hotmail.com,,Nan|Nan,,,,Law and legal services,Public service and government,Policy and advocacy,"Energy, sustainability and the environment",Education,,,"Undergraduate students, Graduate students",3
Evelyn Bauer,Mentor,evelyn_bauer@outlook.com,,Nan|Nan,,,,Medicine and healthcare,Health and wellness,IT and technology,Consulting and strategy,,,,Undergraduate students,1
Gabriella Hill,Mentor,gabriella_hill@yahoo.com,,Nan|Nan,NYC Area,,,Law and legal services,"Energy, sustainability and the environment",Policy and advocacy,Corporate and general management,"Biotech, pharmaceutical, life sciences, and medical devices",,,"Undergraduate students, Graduate students",1
Nadia Foster,Mentor,nadia96@gmail.com,,Nan|Nan,,,,Corporate and general management,Non-profit and social enterprise,Education,,,,,Undergraduate students,1
Amara Klein,Mentor,amara.klein@cornell.edu,,Nan|Nan,East Coast U.S.,College Of Arts And Sciences,Work-Life Balance|Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Navigating The Workforce|Public Service And Non-Profit Careers|First Generation Student Guidance|Networking,Public service and government,Policy and advocacy,Law and legal services,,,,,"Undergraduate students, Graduate students",1
Luke Simmons,Mentor,luke.simmons@icloud.com,,Nan|Nan,,School Of Industrial And Labor Relations,Work-Life Balance|Navigating The Workforce|First Generation Student Guidance|Networking,Law and legal services,Human resources,Business,"Energy, sustainability and the environment",,,,"Undergraduate students, Graduate students",1
