Mentee,Mentee_Email,Mentee_Phone,Mentee_Organization,Mentee_Bio,Mentee_Additional_Notes,Mentee_Field_1,Mentee_Field_2,Mentee_Field_3,Mentee_Field_4,Mentee_Field_5,Mentor,Mentor_Email,Mentor_Phone,Mentor_Bio,Mentor_Additional_Notes,Mentor_Field_1,Mentor_Field_2,Mentor_Field_3,Mentor_Field_4,Mentor_Field_5,Compatibility_Score
Abigail Hayes,abigail.hayes@gmail.com,None,Nan|Graduate And Professional Students Assembly. (Gpsa)|Other,None,None,"Energy, sustainability and the environment",Non-profit and social enterprise,Education,Public service and government,Engineering,Grace Mensah,grace.mensah@gmail.com,None,None,None,"Energy, sustainability and the environment",Design,Policy and advocacy,Architecture and urban planning,Non-profit and social enterprise,0.88
Benjamin Nwosu,benjamin.nwosu@hotmail.com,None,Nan|Other,None,None,"Finance, investment and financial services",Entrepreneurship and startups,Corporate and general management,Consulting and strategy,Business,Natalie Morales,nataliemorales@outlook.com,None,None,None,"Finance, investment and financial services",Non-profit and social enterprise,None,None,None,0.92
Charles Ahmed,charles48@yahoo.com,None,Nan|Other,None,None,Public service and government,Policy and advocacy,Law and legal services,Consulting and strategy,Academia and research,Amara Klein,amara.klein@cornell.edu,None,None,None,Public service and government,Policy and advocacy,Law and legal services,None,None,0.9
Madison Park,madison.park@yahoo.com,None,Nan|Other,None,None,Business,Consulting and strategy,Corporate and general management,Academia and research,Creative fields,Kylie Klein,kylie71@outlook.com,None,None,None,Business,Corporate and general management,Marketing,Retail and consumer goods,Entrepreneurship and startups,0.98
Nora Perez,noraperez@outlook.com,None,Nan|Other,None,None,Consulting and strategy,Psychology and social work,Entrepreneurship and startups,Academia and research,Health and wellness,Sarah Carter,sarah5@outlook.com,None,None,None,Consulting and strategy,Business,"Finance, investment and financial services",Human resources,None,0.88
Olivia Bauer,oliviabauer@yahoo.com,None,Nan|Other,None,None,Medicine and healthcare,"Biotech, pharmaceutical, life sciences, and medical devices",Engineering,None,None,Claire Thompson,claire_thompson@icloud.com,None,None,None,Medicine and healthcare,Academia and research,None,None,None,0.88
William Perez (2),william_perez@outlook.com,None,Nan|Other,None,None,Media and entertainment,"Finance, investment and financial services",Entrepreneurship and startups,Creative fields,Business,Madison Khan,mkhan@hotmail.com,None,None,None,Media and entertainment,Creative fields,"Journalism, publishing and communications",None,None,0.9
Claire Lee,clairelee@outlook.com,None,Other|Nan,None,None,"Biotech, pharmaceutical, life sciences, and medical devices",Policy and advocacy,Business,Health and wellness,Law and legal services,Brooklyn Moore,brooklyn95@cornell.edu,None,None,None,"Biotech, pharmaceutical, life sciences, and medical devices",None,None,None,None,0.98
David Khan,davidkhan@hotmail.com,None,Other|Nan,None,None,"Finance, investment and financial services",Corporate and general management,Data and analytics,Law and legal services,None,Lillian Novak,lilliannovak@hotmail.com,None,None,None,"Finance, investment and financial services",Entrepreneurship and startups,Business,Consulting and strategy,None,0.8
Jack Patel,jackpatel@icloud.com,None,Other|Nan,None,None,Policy and advocacy,Law and legal services,Non-profit and social enterprise,Public service and government,Academia and research,Jocelyn Lopez,jocelyn13@gmail.com,None,None,None,Policy and advocacy,Medicine and healthcare,Public service and government,Veterinary medicine,Health and wellness,0.98
Savannah Suzuki,savannah.suzuki@icloud.com,None,Other|Nan,None,None,"Energy, sustainability and the environment",Engineering,Consulting and strategy,IT and technology,Academia and research,Grace Mensah,grace.mensah@gmail.com,None,None,None,"Energy, sustainability and the environment",Design,Policy and advocacy,Architecture and urban planning,Non-profit and social enterprise,0.8
Wyatt Hassan,wyatt.hassan@icloud.com,None,Other|Nan,None,None,Medicine and healthcare,"Biotech, pharmaceutical, life sciences, and medical devices",Health and wellness,Psychology and social work,Academia and research,Evelyn Bauer,evelyn_bauer@outlook.com,None,None,None,Medicine and healthcare,Health and wellness,IT and technology,Consulting and strategy,None,0.92
Charlotte Baker,charlottebaker@hotmail.com,None,Panhellenic/Multicultural Greek Fraternal Council|Nan,None,None,Marketing,Business,Data and analytics,Media and entertainment,Retail and consumer goods,William Perez,william55@yahoo.com,None,None,None,Marketing,"Journalism, publishing and communications",None,None,None,1.0
Christian Miller,christian46@yahoo.com,None,Panhellenic/Multicultural Greek Fraternal Council|Nan,None,None,Public service and government,Law and legal services,Policy and advocacy,None,None,Serena Ramirez,serena.ramirez@icloud.com,None,None,None,Public service and government,Law and legal services,None,None,None,1.0
Julia Robinson,julia60@outlook.com,None,Panhellenic/Multicultural Greek Fraternal Council|Nan,None,None,Psychology and social work,Business,Marketing,Policy and advocacy,Academia and research,Eli Park,epark@hotmail.com,None,None,None,Psychology and social work,None,None,None,None,0.88
Emma Weber,emma_weber@outlook.com,None,Panhellenic/Multicultural Greek Fraternal Council|Other|Nan,None,None,"Finance, investment and financial services",Business,Corporate and general management,Data and analytics,Consulting and strategy,Lillian Novak,lilliannovak@hotmail.com,None,None,None,"Finance, investment and financial services",Entrepreneurship and startups,Business,Consulting and strategy,None,0.8
Maya Jones,mjones@yahoo.com,None,Panhellenic/Multicultural Greek Fraternal Council|Other|Nan,None,None,Business,Marketing,Corporate and general management,Real estate,Hospitality,Nadia Lopez,nadialopez@hotmail.com,None,None,None,Business,Design,Creative fields,Entrepreneurship and startups,Retail and consumer goods,0.88
Sydney Johnson,sydney_johnson@yahoo.com,None,Women's Leadership Initiative (WLI)|First Gen|Nan,None,None,Marketing,Design,Business,Consulting and strategy,Entrepreneurship and startups,Aubrey Robinson,aubrey.robinson@outlook.com,None,None,None,Marketing,Business,Consulting and strategy,Corporate and general management,None,0.98
