Name,Sarah Carter,Zoe Russell,Lydia Sanchez,Nia Kowalski,Layla Mitchell,Aubrey Weber,Arianna Ramos,Matthew Lopez,Naomi Green,Sarah Garcia,Emma Wang,Addison Campbell,Lena Singh,Adrian Bryant,Zara Thompson,Noah Thompson,Ava Perez,Naomi Ortiz,Owen Lin,Abigail Wang,Imani Smith,Kayla Kim,Wyatt Reed,Scarlett Griffin,Zara Hayes,Ella Gonzalez,Victoria Clark,Madison Khan,Luke Allen,Zoey Ramos,Samantha Kim,Owen Mitchell,Aiden Patel,Ryan Morales,Alexander Flores,Noah Kim,Emma Anderson,Henry Perez,Nadia Tanaka,Lena Torres,Carter Flores,Evelyn Bauer,Gabriella Hill,Nadia Foster,Amara Klein,Luke Simmons
Lucas Roberts,0.05,0.05,0.05,0.13,0.05,0.15,0.05,0.05,0.15,0.15,0.05,0.13,0.15,0.05,0.05,0.05,0.05,0.23,0.15,0.05,0.05,0.13,0.15,0.23,0.13,0.05,0.05,0.15,0.05,0.05,0.05,0.23,0.15,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.05,0.13,0.05,0.23,0.15
Yuna Nakamura,0.05,0.05,0.05,0.09,0.05,0.15,0.05,0.05,0.15,0.15,0.05,0.0,0.15,0.05,0.05,0.05,0.05,0.0,0.23,0.05,0.05,0.15,0.15,0.15,0.05,0.13,0.05,0.05,0.05,0.05,0.05,0.15,0.15,0.19,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.05,0.05,0.05,0.15,0.15
Evelyn Nwosu,0.05,0.09,0.09,0.13,0.05,0.15,0.09,0.09,0.19,0.19,0.05,0.0,0.15,0.09,0.09,0.09,0.05,0.0,0.19,0.09,0.09,0.15,0.19,0.15,0.13,0.05,0.09,0.19,0.09,0.09,0.05,0.15,0.15,0.15,0.09,0.05,0.15,0.05,0.15,0.05,0.09,0.09,0.17,0.09,0.15,0.15
Hannah Gupta,0.13,0.17,0.17,0.05,0.13,0.23,0.17,0.17,0.27,0.27,0.13,0.05,0.23,0.17,0.17,0.17,0.13,0.19,0.19,0.17,0.17,0.15,0.27,0.15,0.05,0.05,0.17,0.17,0.17,0.17,0.13,0.15,0.23,0.23,0.17,0.13,0.15,0.13,0.23,0.13,0.17,0.17,0.09,0.17,0.15,0.23
Avery Nelson,0.13,0.13,0.13,0.05,0.13,0.17,0.13,0.13,0.23,0.23,0.13,0.09,0.23,0.13,0.13,0.13,0.13,0.15,0.15,0.13,0.13,0.19,0.23,0.15,0.09,0.05,0.13,0.23,0.13,0.13,0.17,0.15,0.27,0.23,0.13,0.17,0.15,0.17,0.13,0.13,0.13,0.13,0.05,0.13,0.19,0.23
Grace Kowalski,0.05,0.05,0.05,0.13,0.05,0.15,0.05,0.05,0.15,0.15,0.05,0.0,0.19,0.05,0.05,0.05,0.05,0.0,0.15,0.05,0.05,0.23,0.15,0.23,0.13,0.05,0.05,0.05,0.05,0.05,0.05,0.23,0.15,0.15,0.05,0.05,0.15,0.09,0.19,0.05,0.05,0.05,0.05,0.05,0.23,0.15
Avery Ali,0.05,0.05,0.05,0.13,0.09,0.15,0.05,0.05,0.15,0.15,0.05,0.0,0.15,0.05,0.05,0.05,0.09,0.0,0.15,0.05,0.05,0.23,0.15,0.23,0.13,0.05,0.05,0.05,0.05,0.05,0.05,0.23,0.15,0.15,0.05,0.05,0.19,0.05,0.15,0.05,0.05,0.05,0.13,0.05,0.23,0.15
Lily Wright,0.13,0.17,0.17,0.05,0.13,0.23,0.17,0.17,0.17,0.27,0.13,0.0,0.23,0.17,0.17,0.17,0.13,0.0,0.19,0.17,0.17,0.05,0.27,0.05,0.05,0.05,0.17,0.17,0.17,0.17,0.13,0.05,0.23,0.23,0.17,0.13,0.15,0.13,0.23,0.13,0.17,0.17,0.09,0.17,0.15,0.13
Savannah Cruz,0.05,0.05,0.15,0.13,0.09,0.15,0.05,0.05,0.15,0.15,0.05,0.13,0.19,0.05,0.05,0.05,0.09,0.23,0.23,0.05,0.05,0.23,0.15,0.23,0.13,0.13,0.05,0.15,0.05,0.05,0.05,0.23,0.15,0.15,0.05,0.05,0.19,0.09,0.19,0.05,0.05,0.05,0.13,0.05,0.23,0.15
Aaliyah Martinez,0.13,0.13,0.13,0.05,0.13,0.23,0.13,0.13,0.23,0.23,0.13,0.05,0.23,0.13,0.13,0.13,0.13,0.15,0.15,0.13,0.13,0.15,0.23,0.15,0.05,0.05,0.13,0.23,0.13,0.13,0.13,0.15,0.23,0.23,0.13,0.13,0.15,0.13,0.23,0.13,0.13,0.13,0.05,0.13,0.15,0.23
Aisha Sanchez,0.05,0.05,0.15,0.13,0.09,0.15,0.05,0.05,0.05,0.15,0.05,0.13,0.15,0.05,0.05,0.05,0.09,0.23,0.15,0.05,0.05,0.13,0.15,0.13,0.13,0.05,0.05,0.05,0.05,0.05,0.05,0.13,0.19,0.15,0.05,0.05,0.19,0.05,0.15,0.05,0.05,0.05,0.05,0.05,0.23,0.05
Matthew Fischer,0.13,0.13,0.13,0.05,0.13,0.27,0.13,0.13,0.23,0.23,0.13,0.09,0.23,0.13,0.13,0.13,0.13,0.15,0.15,0.13,0.13,0.09,0.23,0.15,0.09,0.05,0.13,0.23,0.13,0.13,0.17,0.15,0.27,0.23,0.13,0.17,0.15,0.17,0.23,0.13,0.13,0.13,0.05,0.13,0.19,0.23
Aubrey Simmons,0.05,0.05,0.05,0.13,0.05,0.19,0.05,0.05,0.15,0.15,0.05,0.17,0.15,0.05,0.05,0.05,0.05,0.23,0.15,0.05,0.05,0.27,0.15,0.23,0.17,0.05,0.05,0.15,0.05,0.05,0.09,0.23,0.19,0.15,0.05,0.09,0.15,0.09,0.15,0.05,0.05,0.05,0.05,0.05,0.27,0.15
Alexander Taylor,0.13,0.17,0.17,0.05,0.13,0.23,0.17,0.17,0.27,0.27,0.13,0.05,0.23,0.17,0.17,0.17,0.13,0.19,0.19,0.17,0.17,0.15,0.27,0.15,0.05,0.05,0.17,0.27,0.17,0.17,0.13,0.15,0.23,0.23,0.17,0.13,0.15,0.13,0.23,0.13,0.17,0.17,0.09,0.17,0.15,0.23
Riley Eze,0.13,0.13,0.23,0.05,0.13,0.23,0.13,0.13,0.23,0.23,0.13,0.05,0.27,0.13,0.13,0.13,0.13,0.15,0.15,0.13,0.13,0.15,0.23,0.15,0.05,0.05,0.13,0.23,0.13,0.13,0.13,0.15,0.23,0.23,0.13,0.13,0.15,0.17,0.27,0.13,0.13,0.13,0.05,0.13,0.15,0.23
Emily Jones,0.05,0.05,0.05,0.13,0.09,0.15,0.05,0.05,0.15,0.15,0.05,0.13,0.15,0.05,0.05,0.05,0.09,0.23,0.15,0.05,0.05,0.23,0.15,0.23,0.13,0.05,0.05,0.15,0.05,0.05,0.05,0.23,0.15,0.15,0.05,0.05,0.19,0.05,0.15,0.05,0.05,0.05,0.13,0.05,0.23,0.15
Sebastian Okafor,0.23,0.27,0.17,0.15,0.23,0.13,0.27,0.27,0.17,0.17,0.23,0.0,0.13,0.27,0.27,0.27,0.98,0.0,0.09,0.27,0.27,0.8,0.17,0.05,0.15,0.15,0.27,0.17,0.27,0.27,0.23,0.05,0.13,0.13,0.27,0.98,0.05,0.23,0.13,0.23,0.27,0.27,0.19,0.27,0.8,0.13
James Carter,0.05,0.05,0.05,0.13,0.05,0.15,0.05,0.8,0.15,0.15,0.05,0.0,0.94,0.05,0.05,0.05,0.05,0.0,0.23,0.05,0.05,0.23,0.15,0.23,0.13,0.13,0.05,0.15,0.05,0.05,0.05,0.23,0.15,0.15,0.05,0.05,0.15,0.09,0.94,0.05,0.05,0.05,0.13,0.05,0.23,0.15
Lily Rivera,0.05,0.05,0.05,0.13,0.05,0.19,0.05,0.05,0.05,0.15,0.05,0.0,0.15,0.05,0.8,0.05,0.09,0.0,0.15,0.05,0.05,0.17,0.15,0.13,0.17,0.05,0.05,0.05,0.05,0.05,0.09,0.13,0.19,0.15,0.05,0.09,0.15,0.09,0.15,0.05,0.05,0.05,0.13,0.05,0.27,0.05
Aaron Bryant,0.15,0.15,0.05,0.23,0.19,0.05,0.15,0.15,0.05,0.05,0.15,0.23,0.05,0.15,0.15,0.15,0.19,0.13,0.13,0.15,0.15,0.13,0.05,0.13,0.23,0.23,0.15,0.05,0.15,0.15,0.15,0.13,0.05,0.05,0.15,0.15,0.09,0.15,0.05,0.15,0.15,0.15,0.23,0.15,0.13,0.05
Camila Yamamoto,0.05,0.05,0.05,0.13,0.05,0.19,0.05,0.05,0.05,0.15,0.8,0.0,0.15,0.05,0.05,0.05,0.05,0.0,0.15,0.05,0.05,0.09,0.15,0.05,0.17,0.05,0.05,0.05,0.05,0.05,0.09,0.05,0.19,0.15,0.05,0.09,0.15,0.09,0.15,0.05,0.05,0.8,0.13,0.05,0.19,0.05
Lena Reed,0.09,0.05,0.15,0.13,0.05,0.15,0.05,0.05,0.15,0.15,0.09,0.0,0.15,0.8,0.05,0.8,0.05,0.0,0.23,0.05,0.05,0.23,0.9,0.23,0.13,0.13,0.8,0.15,0.05,0.05,0.05,0.23,0.19,0.15,0.8,0.05,0.15,0.05,0.15,0.05,0.8,0.05,0.88,0.05,0.23,0.9
Nia Lee,0.17,0.13,0.13,0.05,0.13,0.27,0.13,0.13,0.23,0.23,0.17,0.09,0.23,0.13,0.13,0.13,0.88,0.15,0.15,0.13,0.13,0.94,0.23,0.15,0.09,0.05,0.13,0.13,0.13,0.13,0.17,0.19,0.27,0.23,0.13,0.92,0.15,0.17,0.23,0.13,0.13,0.13,0.05,0.13,0.94,0.23
Samantha Miller,0.15,0.19,0.09,0.23,0.15,0.05,0.19,0.19,0.09,0.09,0.9,0.0,0.05,0.19,0.19,0.19,0.15,0.0,0.17,0.19,0.19,0.13,0.09,0.13,0.23,0.23,0.19,0.09,0.19,0.19,0.15,0.13,0.05,0.05,0.19,0.15,0.05,0.15,0.05,0.15,0.19,0.94,0.27,0.19,0.13,0.05
Thomas Baker,0.05,0.09,0.94,0.13,0.05,0.15,0.09,0.09,0.19,0.19,0.05,0.0,0.15,0.09,0.09,0.09,0.05,0.0,0.27,0.09,0.09,0.23,0.19,0.23,0.13,0.13,0.09,0.09,0.09,0.09,0.05,0.23,0.15,0.15,0.09,0.05,0.15,0.05,0.15,0.05,0.09,0.09,0.17,0.09,0.23,0.15
Carter Nakamura,0.05,0.09,0.09,0.05,0.05,0.15,0.09,0.09,0.19,0.19,0.05,0.0,0.15,0.09,0.09,0.09,0.05,0.0,0.19,0.09,0.09,0.15,0.19,0.15,0.05,0.05,0.09,0.09,0.09,0.09,0.05,0.15,0.15,0.15,0.09,0.05,0.15,0.05,0.15,0.05,0.09,0.09,0.09,0.09,0.15,0.15
Kaylee Harris,0.05,0.05,0.15,0.13,0.05,0.15,0.05,0.05,0.15,0.15,0.05,0.13,0.15,0.05,0.05,0.05,0.05,0.23,0.15,0.05,0.05,0.23,0.15,0.23,0.13,0.05,0.05,0.05,0.05,0.05,0.8,0.23,0.15,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.05,0.13,0.8,0.23,0.15
Skylar Thompson,0.8,0.09,0.09,0.13,0.05,0.15,0.09,0.09,0.09,0.19,0.05,0.0,0.15,0.09,0.09,0.09,0.05,0.0,0.27,0.09,0.09,0.05,0.19,0.15,0.13,0.13,0.09,0.09,0.09,0.09,0.05,0.05,0.15,0.15,0.09,0.05,0.15,0.05,0.15,0.05,0.09,0.09,0.17,0.09,0.15,0.15
Daniel Anderson,0.8,0.05,0.05,0.13,0.09,0.15,0.05,0.05,0.15,0.15,0.05,0.13,0.15,0.05,0.05,0.05,0.09,0.23,0.23,0.05,0.05,0.23,0.15,0.23,0.13,0.13,0.05,0.05,0.05,0.05,0.05,0.23,0.15,0.15,0.05,0.05,0.19,0.05,0.15,0.05,0.05,0.05,0.13,0.05,0.23,0.15
Victoria Khan,0.13,0.13,0.13,0.05,0.17,0.13,0.13,0.13,0.23,0.23,0.13,0.05,0.23,0.13,0.13,0.13,0.17,0.15,0.15,0.13,0.13,0.15,0.23,0.15,0.05,0.05,0.13,0.23,0.13,0.13,0.13,0.15,0.23,0.23,0.13,0.13,0.19,0.13,0.13,0.13,0.13,0.13,0.05,0.13,0.15,0.23
James Mensah,0.13,0.17,0.17,0.05,0.13,0.23,0.17,0.17,0.27,0.27,0.88,0.0,0.23,0.17,0.17,0.17,0.13,0.0,0.19,0.17,0.17,0.15,0.27,0.15,0.05,0.05,0.17,0.27,0.17,0.17,0.13,0.15,0.23,0.23,0.17,0.13,0.15,0.13,0.23,0.13,0.17,0.92,0.09,0.17,0.15,0.23
Ethan Johnson,0.05,0.05,0.05,0.13,0.05,0.19,0.05,0.05,0.05,0.15,0.05,0.92,0.15,0.8,0.05,0.8,0.05,0.23,0.23,0.05,0.05,0.17,0.9,0.23,0.17,0.13,0.8,0.05,0.05,0.05,0.09,0.13,0.19,0.15,0.8,0.09,0.15,0.09,0.15,0.05,0.8,0.05,0.88,0.05,0.27,0.9
Camila Carter,0.15,0.15,0.05,0.23,0.15,0.05,0.15,0.9,0.05,0.05,0.15,0.0,0.84,0.15,0.15,0.15,0.15,0.0,0.05,0.15,0.15,0.13,0.05,0.13,0.23,0.15,0.15,0.05,0.15,0.15,0.15,0.13,0.05,0.05,0.15,0.15,0.05,0.19,0.84,0.15,0.15,0.15,0.15,0.15,0.13,0.05
Christian Ortiz,0.09,0.05,0.05,0.13,0.09,0.15,0.05,0.05,0.15,0.15,0.09,0.0,0.15,0.05,0.05,0.05,0.09,0.0,0.15,0.05,0.05,0.23,0.15,0.23,0.13,0.05,0.05,0.05,0.05,0.05,0.05,0.27,0.19,0.15,0.05,0.05,0.19,0.05,0.15,0.05,0.05,0.05,0.13,0.05,0.23,0.15
David Gonzalez,0.09,0.05,0.05,0.13,0.05,0.15,0.05,0.05,0.15,0.15,0.09,0.13,0.15,0.05,0.05,0.05,0.05,0.23,0.15,0.05,0.05,0.23,0.15,0.23,0.13,0.05,0.05,0.15,0.05,0.05,0.05,0.23,0.19,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.05,0.05,0.05,0.23,0.15
Samuel Walker,0.17,0.13,0.13,0.05,0.13,0.13,0.13,0.13,0.23,0.23,0.17,0.05,0.23,0.13,0.13,0.13,0.13,0.05,0.15,0.13,0.13,0.15,0.23,0.15,0.05,0.05,0.13,0.23,0.13,0.13,0.13,0.15,0.27,0.13,0.13,0.13,0.05,0.13,0.13,0.13,0.13,0.13,0.05,0.13,0.15,0.23
Mei Patel,0.17,0.13,0.13,0.05,0.13,0.23,0.13,0.13,0.23,0.23,0.17,0.05,0.23,0.13,0.13,0.13,0.13,0.15,0.15,0.13,0.13,0.15,0.23,0.15,0.05,0.05,0.13,0.23,0.13,0.13,0.13,0.19,0.23,0.23,0.13,0.13,0.15,0.13,0.23,0.13,0.13,0.13,0.05,0.13,0.15,0.23
Ethan Petrov,0.05,0.09,0.09,0.13,0.05,0.05,0.09,0.09,0.19,0.19,0.05,0.13,0.15,0.09,0.09,0.09,0.05,0.27,0.19,0.09,0.09,0.23,0.19,0.23,0.13,0.05,0.09,0.19,0.09,0.09,0.05,0.23,0.15,0.15,0.09,0.05,0.15,0.05,0.15,0.05,0.09,0.09,0.17,0.09,0.23,0.15
Aaron Hernandez,0.13,0.13,0.13,0.05,0.17,0.27,0.13,0.13,0.23,0.23,0.13,0.09,0.23,0.13,0.13,0.13,0.17,0.15,0.15,0.13,0.13,0.19,0.23,0.15,0.09,0.05,0.13,0.13,0.13,0.13,0.17,0.15,0.27,0.23,0.13,0.17,0.19,0.17,0.23,0.13,0.13,0.13,0.05,0.13,0.19,0.23
Isaiah Lee,0.17,0.13,0.13,0.05,0.13,0.23,0.13,0.13,0.23,0.23,0.17,0.05,0.23,0.13,0.13,0.13,0.13,0.15,0.15,0.88,0.88,0.15,0.23,0.15,0.05,0.05,0.13,0.23,0.13,0.13,0.13,0.15,0.27,0.23,0.13,0.13,0.15,0.13,0.23,0.13,0.13,0.13,0.05,0.13,0.15,0.23
Isaiah Perez,0.13,0.13,0.13,0.05,0.13,0.27,0.13,0.13,0.23,0.23,0.13,0.09,0.23,0.13,0.13,0.13,0.13,0.15,0.15,0.13,0.13,0.19,0.23,0.15,0.09,0.05,0.13,0.23,0.13,0.13,0.17,0.15,0.27,0.23,0.13,0.17,0.15,0.17,0.23,0.13,0.13,0.13,0.05,0.13,0.19,0.23
Matthew Patel,0.13,0.17,1.0,0.05,0.13,0.23,0.17,0.17,0.27,0.27,0.13,0.05,0.23,0.17,0.17,0.17,0.13,0.19,0.19,0.17,0.17,0.15,0.27,0.15,0.05,0.05,0.17,0.27,0.17,0.17,0.13,0.15,0.23,0.23,0.17,0.13,0.15,0.13,0.23,0.13,0.17,0.17,0.09,0.17,0.15,0.23
Kennedy Allen,0.13,0.17,0.17,0.05,0.13,0.23,0.17,0.17,0.27,0.27,0.13,0.05,0.23,0.17,0.17,0.17,0.13,0.19,0.19,0.17,0.17,0.15,0.27,0.15,0.05,0.05,0.17,0.27,0.17,0.17,0.13,0.15,0.23,0.23,0.17,0.13,0.15,0.13,0.23,0.13,0.17,0.17,0.09,0.17,0.15,0.23
Madison Kowalski,0.05,0.05,0.05,0.13,0.05,0.05,0.05,0.05,0.15,0.15,0.05,0.13,0.15,0.05,0.05,0.05,0.05,0.23,0.23,0.05,0.05,0.23,0.15,0.27,0.13,0.13,0.05,0.15,0.05,0.05,0.05,0.23,0.19,0.15,0.05,0.05,0.15,0.05,0.15,0.09,0.05,0.05,0.13,0.05,0.23,0.19
Mia Bauer,0.05,0.05,0.05,0.13,0.8,0.05,0.05,0.05,0.15,0.05,0.05,0.13,0.05,0.05,0.05,0.05,0.05,0.23,0.23,0.05,0.05,0.13,0.15,0.23,0.13,0.92,0.05,0.15,0.05,0.05,0.05,0.23,0.15,0.15,0.05,0.05,0.94,0.05,0.05,0.05,0.05,0.05,0.13,0.05,0.23,0.15
Maya Williams,0.13,0.13,0.13,0.05,0.17,0.23,0.13,0.13,0.13,0.23,0.13,0.05,0.27,0.13,0.13,0.13,0.17,0.15,0.15,0.13,0.13,0.15,0.23,0.05,0.05,0.05,0.13,0.23,0.13,0.13,0.13,0.05,0.23,0.23,0.13,0.13,0.19,0.17,0.27,0.13,0.13,0.13,0.05,0.13,0.15,0.13
Eleanor Lee,0.05,0.05,0.05,0.05,0.05,0.19,0.05,0.05,0.15,0.15,0.8,0.0,0.15,0.05,0.05,0.05,0.05,0.0,0.15,0.05,0.05,0.19,0.15,0.15,0.09,0.05,0.05,0.15,0.05,0.05,0.09,0.15,0.19,0.15,0.05,0.09,0.15,0.09,0.15,0.05,0.05,0.8,0.05,0.05,0.19,0.15
Scarlett Johnson,0.17,0.13,0.13,0.05,0.13,0.23,0.13,0.13,0.23,0.23,0.17,0.05,0.23,0.13,0.13,0.13,0.88,0.15,0.15,0.13,0.13,0.9,0.23,0.15,0.05,0.05,0.13,0.13,0.13,0.13,0.13,0.15,0.27,0.23,0.13,0.88,0.15,0.13,0.23,0.13,0.13,0.13,0.05,0.13,0.9,0.23
Isaiah Torres,0.13,0.17,0.17,0.05,0.13,0.23,0.17,0.17,0.27,0.27,0.13,0.0,0.23,0.17,0.17,0.17,0.13,0.0,0.19,0.17,0.17,0.15,0.27,0.15,0.05,0.05,0.17,0.17,0.17,0.17,0.13,0.15,0.23,0.23,0.17,0.13,0.15,0.13,0.23,0.13,0.17,0.17,0.09,0.17,0.15,0.23
Carter Fischer,0.05,0.09,0.09,0.13,0.05,0.15,0.09,0.09,0.09,0.19,0.05,0.0,0.15,0.09,0.09,0.09,0.05,0.0,0.19,0.84,0.84,0.15,0.19,0.15,0.13,0.05,0.09,0.09,0.09,0.09,0.05,0.05,0.15,0.15,0.09,0.05,0.15,0.05,0.15,0.05,0.09,0.09,0.17,0.09,0.15,0.15
Claire Nguyen,0.05,0.05,0.05,0.13,0.05,0.19,0.05,0.05,0.15,0.15,0.05,0.0,0.15,0.05,0.05,0.05,0.05,0.0,0.23,0.05,0.05,0.27,0.15,0.23,0.17,0.13,0.05,0.15,0.05,0.05,0.09,0.23,0.19,0.15,0.05,0.09,0.15,0.09,0.15,0.05,0.05,0.05,0.13,0.05,0.27,0.15
Ella Khan,0.05,0.05,0.05,0.13,0.05,0.19,0.05,0.05,0.15,0.15,0.05,0.0,0.15,0.8,0.05,0.8,0.05,0.0,0.15,0.05,0.05,0.27,0.9,0.23,0.17,0.05,0.8,0.05,0.05,0.05,0.09,0.23,0.19,0.15,0.8,0.09,0.15,0.09,0.15,0.05,0.8,0.05,0.88,0.05,0.27,0.9
Chloe Martinez,0.05,0.05,0.05,0.13,0.05,0.19,0.05,0.05,0.15,0.15,0.05,0.0,0.15,0.8,0.05,0.8,0.05,0.0,0.23,0.05,0.05,0.27,0.9,0.23,0.17,0.13,0.8,0.15,0.05,0.05,0.09,0.23,0.19,0.15,0.8,0.09,0.15,0.09,0.15,0.05,0.8,0.05,0.88,0.05,0.27,0.9
Mia Rivera,0.09,0.05,0.05,0.13,0.09,0.19,0.05,0.05,0.15,0.15,0.84,0.0,0.15,0.05,0.05,0.05,0.09,0.0,0.15,0.05,0.05,0.27,0.15,0.23,0.17,0.05,0.05,0.15,0.05,0.05,0.09,0.27,0.19,0.15,0.05,0.09,0.19,0.09,0.15,0.05,0.05,0.8,0.13,0.05,0.27,0.15
Aria Petrov,0.13,0.17,0.17,0.05,0.13,0.23,0.17,0.17,0.17,0.27,0.88,0.0,0.23,0.17,0.17,0.17,0.13,0.0,0.19,0.17,0.17,0.15,0.27,0.05,0.05,0.05,0.17,0.17,0.17,0.17,0.13,0.05,0.23,0.23,0.17,0.13,0.15,0.13,0.23,0.13,0.17,0.92,0.09,0.17,0.15,0.13
Benjamin Green,0.13,0.13,0.13,0.05,0.17,0.23,0.13,0.13,0.23,0.23,0.13,0.0,0.23,0.13,0.88,0.13,0.17,0.0,0.15,0.13,0.13,0.15,0.23,0.15,0.05,0.05,0.13,0.13,0.13,0.13,0.13,0.15,0.23,0.23,0.13,0.13,0.19,0.13,0.23,0.13,0.13,0.13,0.05,0.13,0.15,0.23
Luke Nelson,0.13,0.13,0.13,0.05,0.13,0.13,0.13,0.13,0.13,0.23,0.13,0.0,0.23,0.88,0.13,0.88,0.13,0.0,0.15,0.13,0.13,0.15,0.98,0.19,0.05,0.05,0.88,0.23,0.13,0.13,0.13,0.05,0.27,0.23,0.88,0.13,0.15,0.13,0.23,0.17,0.88,0.13,0.8,0.13,0.15,1.0
Noah Adams,0.05,0.09,0.09,0.13,0.05,0.05,0.09,0.09,0.09,0.09,0.05,0.0,0.05,0.09,0.09,0.09,0.05,0.0,0.09,0.09,0.09,0.15,0.09,0.05,0.13,0.05,0.09,0.09,0.09,0.09,0.05,0.05,0.9,0.05,0.09,0.05,0.05,0.05,0.15,0.05,0.09,0.09,0.17,0.09,0.15,0.05
