Mentee,Mentee_Email,Mentee_Phone,Mentee_Organization,Mentee_Bio,Mentee_Additional_Notes,Mentee_Field_1,Mentee_Field_2,Mentee_Field_3,Mentee_Field_4,Mentee_Field_5,Mentor,Mentor_Email,Mentor_Phone,Mentor_Bio,Mentor_Additional_Notes,Mentor_Field_1,Mentor_Field_2,Mentor_Field_3,Mentor_Field_4,Mentor_Field_5,Compatibility_Score
Carter Fischer,carter62@gmail.com,None,Other|Nan,None,None,Non-profit and social enterprise,Law and legal services,Policy and advocacy,Public service and government,Psychology and social work,Imani Smith,ismith@cornell.edu,None,None,None,Non-profit and social enterprise,Academia and research,None,None,None,0.84
Chloe Martinez,chloe.martinez@gmail.com,None,Other|Nan,None,None,Law and legal services,Policy and advocacy,Media and entertainment,None,None,Wyatt Reed,wreed@cornell.edu,None,None,None,Law and legal services,Entrepreneurship and startups,Business,None,None,0.9
Ella Khan,ella_khan@gmail.com,None,Other|Nan,None,None,Law and legal services,Public service and government,Non-profit and social enterprise,None,None,Victoria Clark,victoria.clark@outlook.com,None,None,None,Law and legal services,Human resources,Public service and government,Corporate and general management,None,0.8
James Mensah,james71@hotmail.com,None,Other|Nan,None,None,Medicine and healthcare,Health and wellness,Psychology and social work,Academia and research,"Biotech, pharmaceutical, life sciences, and medical devices",Evelyn Bauer,evelyn_bauer@outlook.com,None,None,None,Medicine and healthcare,Health and wellness,IT and technology,Consulting and strategy,None,0.92
Luke Nelson,lnelson@icloud.com,None,Other|Nan,None,None,Law and legal services,Policy and advocacy,Human resources,None,None,Luke Simmons,luke.simmons@icloud.com,None,None,None,Law and legal services,Human resources,Business,"Energy, sustainability and the environment",None,1.0
Benjamin Green,bgreen@outlook.com,None,Panhellenic/Multicultural Greek Fraternal Council|Nan,None,None,Business,Corporate and general management,Marketing,Human resources,Hospitality,Zara Thompson,zarathompson@outlook.com,None,None,None,Business,Corporate and general management,Retail and consumer goods,Marketing,None,0.88
Samantha Miller,samantha69@hotmail.com,None,Women's Leadership Initiative (WLI)|First Gen|Nan,None,None,Medicine and healthcare,Health and wellness,Human resources,Academia and research,Psychology and social work,Emma Wang,emma_wang@hotmail.com,None,None,None,Medicine and healthcare,Health and wellness,Corporate and general management,Business,None,0.9
Camila Carter,camila_carter@icloud.com,None,Women's Leadership Initiative (WLI)|Nan,None,None,Engineering,"Biotech, pharmaceutical, life sciences, and medical devices",Medicine and healthcare,Data and analytics,Consulting and strategy,Matthew Lopez,matthewlopez@yahoo.com,None,None,None,Engineering,Academia and research,Business,"Energy, sustainability and the environment",Corporate and general management,0.9
James Carter,jamescarter@hotmail.com,None,Women's Leadership Initiative (WLI)|Nan,None,None,Engineering,"Biotech, pharmaceutical, life sciences, and medical devices",Academia and research,Data and analytics,IT and technology,Lena Singh,lsingh@outlook.com,None,None,None,Engineering,Data and analytics,Entrepreneurship and startups,Medicine and healthcare,Business,0.94
Lena Reed,lena_reed@cornell.edu,None,Women's Leadership Initiative (WLI)|Nan,None,None,Law and legal services,Policy and advocacy,Public service and government,Consulting and strategy,Corporate and general management,Gabriella Hill,gabriella_hill@yahoo.com,None,None,None,Law and legal services,"Energy, sustainability and the environment",Policy and advocacy,Corporate and general management,"Biotech, pharmaceutical, life sciences, and medical devices",0.88
Sebastian Okafor,sokafor@outlook.com,None,Women's Leadership Initiative (WLI)|Nan,None,None,Public service and government,Policy and advocacy,Law and legal services,Psychology and social work,Human resources,Ava Perez,aperez@cornell.edu,None,None,None,Public service and government,Corporate and general management,IT and technology,Business,None,0.98
