Full Name,Email Address,Timestamp,Are you a/an ,What organization are you affiliated with?,What organization are you affiliated with?.1,Which level of student do you wish to mentor (check all the apply),How many mentees do you wish to mentor?,"If you already are mentoring students via PCCW, please write in the exact number you are mentoring ",What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Academia and research],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Architecture and urban planning],"What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Biotech, pharmaceutical, life sciences, and medical devices]",What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Business],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Consulting and strategy],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Corporate and general management],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Creative fields],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Data and analytics],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Design],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Education],"What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Energy, sustainability and the environment]",What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Engineering],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Entrepreneurship and startups],"What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Finance, investment and financial services]",What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Health and wellness],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Hospitality],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Human resources],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [IT and technology],"What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Journalism, publishing and communications]",What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Law and legal services],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Marketing],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Media and entertainment],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Medicine and healthcare],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Non-profit and social enterprise],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Policy and advocacy],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Psychology and social work],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Public service and government],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Real estate],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Retail and consumer goods],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Veterinary medicine],"Would you like your match to be based, in part, on your location?",Your location/where you wish to work (mentees) or reside (mentors); click all that apply that you want to be considered in match,"Would you like your match to be based, in part, on specific career advice you are seeking or want to provide?",Click all career advice areas that apply,"Would you like your match to be based, in part, on your college/school affiliation(s) at Cornell? Graduate students please indicate the college that most closely relates to your Field of Study administered by the Graduate School or professional degree you are obtaining.",Click all that apply,Unnamed: 43,Unnamed: 44
Ella Gonzalez,ellagonzalez@yahoo.com,11/11/25 9:08,PCCW member,,,Undergraduate students,1.0,,2nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1st Choice,Yes,"West Coast U.S., Puerto Rico or Latin America",No,,Yes,School of Veterinary Medicine,"Dr. María Soltero-Rivera, originally from Puerto Rico, is an Associate Professor at UC Davis and Director of the Oral and Maxillofacial Medicine Fellowship. Her work focuses on comparative oral medicine, mucosal immunology, antimicrobial stewardship, and regenerative oral therapies.",
Victoria Clark,victoria.clark@outlook.com,11/12/25 18:24,PCCW member,,,"Undergraduate students, Graduate students",3.0,0,,,,,,4th,,,,,,,,,,,2nd,,,1st Choice,,,,,,,3rd,,,,No,,No,,No,,"I got a Masters at Cornell ILR, worked in a federal govt agency and then got a law degree.  Over 40+ years I practiced labor/employment law in a large firm, in a mgmt role for the City of Chicago, as an officer of a large corporation, and as a founding partner in an employee-side law firm. ",
Madison Khan,mkhan@hotmail.com,11/13/25 14:53,PCCW member,,,"Undergraduate students, Graduate students",1.0,1,,,,,,,2nd,,,,,,,,,,,,3rd,,,1st Choice,,,,,,,,,No,,Yes,"Work-Life Balance, Transitioning from academia to industry or navigating career changes",No,,"Graduated in 1987 and understand careers are about the journey and not just the destination. I have transitioned from advertising to film marketing to television writing. As someone who didn’t take writing courses at Cornell, I never anticipated I would spend 25 years writing for comedies.",
Luke Allen,luke.allen@outlook.com,11/13/25 16:06,PCCW member,,,Undergraduate students,1.0,0,5th,,,,,,2nd,,,1st Choice,,,,,,,,,,,,,,,4th,,,3rd,,,No,,No,,No,,"As a CALS Agriculture major turned Library Science professional, I see careers as living things that grow and evolve. I love mentoring students with creativity and heart, guiding them through change and celebrating their growth long after graduation.",
Zoey Ramos,zramos@cornell.edu,11/14/25 9:25,PCCW member,,,Undergraduate students,1.0,,,,,2nd,,,,,,,,,,,,,,,,,1st Choice,,,,,,,,,,No,,No,,No,,"With 30+ years' experience leading sales and marketing from Fortune 500 brands to PE-backed challenger start-ups, I thrive in driving growth through challenge and change. I'm passionate about developing talent and excited to support a mentee's career journey.",
Samantha Kim,samantha_kim@hotmail.com,11/15/25 17:40,PCCW member,,,Undergraduate students,1.0,,,,,,,1st Choice,,,,,,,,,,,,,,,,,3rd,,2nd,,,,,,No,,No,,Yes,College of Arts and Sciences,"I've spent my career in health care policy and advocacy, both in government and the private sector, and currently serve as the Chief Compliance Officer of the country's largest health insurance company.",
Owen Mitchell,owenmitchell@yahoo.com,11/16/25 19:43,PCCW member,,,Undergraduate students,1.0,,,,,,,,,,,,,,,,2nd,,,,,,,,,,,1st Choice,,,,,Yes,East Coast U.S.,Yes,"Work-Life Balance, Networking",Yes,College of Human Ecology,"After a 25 year career in healthcare public relations, I returned to graduate school and obtained a masters in mental health counseling. I am now in full-time private practice and treat individuals with a wide range of mental health concerns.  ",
Aiden Patel,aidenpatel@cornell.edu,11/18/25 18:09,PCCW member,,,Undergraduate students,2.0,,,,,,,,,,,,,,,,,,,,,,,,,3rd,1st Choice,,2nd,,,,No,,Yes,"Work-Life Balance, Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Navigating the workforce, Public Service and Non-Profit Careers, First Generation student guidance, Networking",Yes,"College of Arts and Sciences, School of Industrial and Labor Relations, Cornell Jeb E. Brooks School of Public Policy, City and Regional planning, government","Theresa Flores is a Texas-based public affairs strategist focused on justice, education, and equity. She brings deep community engagement and a passion for mentorship.",
Ryan Morales,ryan_morales@outlook.com,11/19/25 12:13,PCCW member,,,Undergraduate students,1.0,,,,,4th,,,5th,,,,,,,,,1st Choice,,,,,2nd,,,,,,,3rd,,,No,,Yes,"Work-Life Balance, Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Navigating the workforce",Yes,Nolan School of Hotel Administration,"Lauren Levin is Chief Marketing Officer at Lightstone, overseeing marketing / advertising, digital media, creative, branding, programming, and public relations strategy across Lightstone’s portfolio of Moxy Hotels, as well as its national real estate and corporate platform.  ",
Alexander Flores,alexander.flores@gmail.com,11/19/25 15:31,PCCW member,,,Undergraduate students,1.0,,,,,4th,,3rd,,,,,,,,,,,,,,1st Choice,,,2nd,,,,,,,,No,,No,,No,,"I am a senior executive in a 40B healthcare organization with over 150K employees.  I practiced law as Chief counsel for many years and recently transitioned to a new executive role.
",
Claire Patel,claire24@outlook.com,11/19/25 16:06,Undergraduate student,First Gen,,,,,,,,2nd,4th,5th,,1st Choice,,,3rd,,,,,,,,,,,,,,,,,,,,Yes,NYC area,Yes,"Work-Life Balance, Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Navigating the workforce, Transitioning from academia to industry or navigating career changes, First Generation student guidance, Networking",Yes,Dyson School of Applied Economics and Management,"My name is Sophia Lin and I am a current Dyson student who is exploring different career opportunities, specifically in business and analytics. If possible, I’d like to make an impact with the work I do, even if it’s only a little.",
Harper Malik,harper_malik@gmail.com,11/19/25 17:16,Undergraduate student,First Gen,,,,,1st Choice,,,,,,,,,2nd,,,,,,,,,5th,,,,,,3rd,,4th,,,,Yes,East Coast U.S.,No,,Yes,College of Agriculture and Life Sciences,I am a first generation community college transfer student currently majoring in communication. ,
Jocelyn Taylor,jocelyn.taylor@cornell.edu,11/19/25 18:52,Undergraduate student,First Gen,,,,,3rd,,,4th,5th,,,1st Choice,,,,,,,,,,2nd,,,,,,,,,,,,,No,,Yes,"Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Navigating the workforce, First Generation student guidance, Networking",Yes,"Cornell Ann S. Bowers College of Computing and Information Science, College of Engineering","I’m passionate about technology and data science, and I enjoy using coding to solve real-world problems. I also love teaching kids to code creatively, exploring art, and engaging in community volunteer work.",
Kaylee Nguyen,kaylee.nguyen@gmail.com,11/19/25 20:26,Undergraduate student,Other,,,,,1st Choice,,2nd,,,,,,,,5th,,,,,,,,4th,,,,3rd,,,,,,,,No,,Yes,"Work-Life Balance, Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Transitioning from academia to industry or navigating career changes, Networking",Yes,College of Arts and Sciences,"I am a sophomore, pursuing a chemistry major and science communications minor with a strong interest in conducting research in the chemical industry and exploring scientific public engagement. I am eager to learn from those around me and further strengthen my professional development. ",
Oliver Petrov,oliverpetrov@gmail.com,11/20/25 10:38,Undergraduate student,First Gen,,,,,,,,5th,,4th,,,,,,,,,,3rd,2nd,,,,,,,,,,,1st Choice,,,Yes,"East Coast U.S., West Coast U.S., NYC area",Yes,"Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), First Generation student guidance, Networking",Yes,"Cornell SC Johnson College of Business, Nolan School of Hotel Administration, Dyson School of Applied Economics and Management","I’m Qq, a senior at Cornell’s Nolan School studying hospitality and inequality, passionate about real estate and community impact. I’m excited to learn, grow, and connect through this mentorship.",
Nathan Tanaka,nathan.tanaka@outlook.com,11/20/25 10:48,Undergraduate student,First Gen,,,,,5th,,,,,,,,,,3rd,,,,1st Choice,,,,,,,,2nd,,4th,,,,,,No,,Yes,"Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Navigating the workforce, Public Service and Non-Profit Careers, First Generation student guidance, Networking",No,,"Hi, my name is Charlotte and I am a sophomore at Cornell. I'm mainly interested in global and public health, epidemiology, public policy, and One Health. I'm considering pursuing grad school. Additionally, I'm a member of Cornell International Affairs Society and Rho Psi Eta, a pre-health sorority. ",
Jackson Foster,jackson_foster@outlook.com,11/21/25 16:15,Graduate student,,Graduate and Professional Students Assembly. (GPSA),,,,1st Choice,,,,2nd,,,,,3rd,,,,,,,,,,,,,,,5th,4th,,,,,Yes,"East Coast U.S., NYC area, East Asia",Yes,"Work-Life Balance, Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Public Service and Non-Profit Careers, International student guidance, Transitioning from academia to industry or navigating career changes, First Generation student guidance, Networking",Yes,College of Arts and Sciences,"I'm a PhD student from China working on animal literature and environmental criticism. I love language learning re: German, French, ancient Greek, Tangut, etc. ",
Noah Kim,noah_kim@outlook.com,11/24/25 16:04,PCCW member,,,"Undergraduate students, Graduate students",1.0,,,,,,5th,4th,,,,,,,,,,,,3rd,,,,,,,2nd,,1st Choice,,,,No,,No,,Yes,College of Arts and Sciences,"An Arts & Sciences graduate, Erin has spent the last 15 years working on emerging technology policy and operations and is currently based in Washington, DC.",
Emma Anderson,emmaanderson@hotmail.com,11/24/25 16:14,PCCW member,,,"Undergraduate students, Graduate students",1.0,,,,,2nd,,,,,,,,,,,,,,,,,,,,,,,,,,1st Choice,Yes,Southern US,Yes,"Work-Life Balance, Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Navigating the workforce, Entrepreneurship and Startup Advice",Yes,"College of Agriculture and Life Sciences, School of Veterinary Medicine","I’m Dr. Cherese Sullivan, a Houston veterinarian and entrepreneur dedicated to compassionate care and community impact. I love helping students discover their path in veterinary medicine and supporting them along the way.",
Henry Perez,henry.perez@cornell.edu,11/25/25 16:06,PCCW member,,,Undergraduate students,1.0,,,,,,,,,,,,,2nd,,,,,,1st Choice,,,,,,,,,,,,,No,,No,,Yes,"College of Arts and Sciences, College of Engineering",Retired telecom/IT professional with 20+ years of management experience. I studied theoretical math and operations research at Cornell and Stanford. Cornell parent of an Arts'13 grad who majored in math and sang in the Chorus and  a capella ,
Aisha Diallo,aisha.diallo@gmail.com,11/27/25 13:38,Undergraduate student,First Gen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Yes,"Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), First Generation student guidance, Networking",Yes,College of Arts and Sciences,"Hi! My name is Nicky. I'm from Rochester, NY! ",
Nadia Tanaka,nadia48@outlook.com,11/28/25 11:59,PCCW member,,,Undergraduate students,1.0,,,,3rd,,,,,,,,,1st Choice,,,,,,2nd,,,,,,,,,,,,,No,,Yes,"Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Navigating the workforce, Public Service and Non-Profit Careers",Yes,College of Engineering,"Hello! Looking forward to meeting you! I'm a mid-career Technical Advisor with a love for youth STEM education, the Arts, and Travel!",
Lena Torres,ltorres@cornell.edu,11/30/25 12:26,PCCW member,,,"Undergraduate students, Graduate students",2.0,0,,,,3rd,4th,2nd,,,,,,,,,,,1st Choice,,,,,,,,,,,,,,No,,No,,Yes,School of Industrial and Labor Relations,I am an alum of Cornell's School of Industrial and Labor Relations.  I had a 40 year corporate career in Human Resources and held the role Chief Human Resources Officer at my last three companies.  I am current an independent board member of a public board of and a private board.,
Ava Wilson,awilson@icloud.com,11/30/25 15:07,Graduate student,,Graduate and Professional Students Assembly. (GPSA),,,,,,,,,,,,,,2nd,,3rd,,1st Choice,,,,,,,,4th,,5th,,,,,,No,,Yes,"Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Navigating the workforce, Entrepreneurship and Startup Advice, First Generation student guidance, Networking",Yes,"School of Veterinary Medicine, Graduate School Field of Study","Merelis Ortiz is pursuing her MPH in Food Systems and Health, applying systems thinking to bridge nutrition, food safety, and community engagement for equitable outcomes. She seeks global opportunities, advancing climate resiliency and exploring B Corps to launch a wellness-focused enterprise.",
