Name,Role,Student_Level,Email,Phone_Number,Organization,Location,College,Career_Interests,Field_1,Field_2,Field_3,Field_4,Field_5,Bio,Additional_Notes
Aisha Sanchez,Mentee,Graduate,aisha.sanchez@gmail.com,,Nan|Graduate And Professional Students Assembly. (Gpsa),East Coast U.S.,"College Of Agriculture And Life Sciences|Sociology, Design And Environmental Analysis|Sociology, Design And Environmental Analysis|City And Regional Planning, Government|City And Regional Planning, Government",Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Entrepreneurship And Startup Advice,Academia and research,"Journalism, publishing and communications",Non-profit and social enterprise,Creative fields,Entrepreneurship and startups,,
Alexander Taylor,Mentee,Graduate,ataylor@cornell.edu,,Nan|Graduate And Professional Students Assembly. (Gpsa),,,Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Navigating The Workforce|Public Service And Non-Profit Careers|Transitioning From Academia To Industry Or Navigating Career Changes|Networking,Data and analytics,"Finance, investment and financial services",Design,Psychology and social work,Academia and research,,
Ava Wilson,Mentee,Graduate,awilson@icloud.com,,Nan|Graduate And Professional Students Assembly. (Gpsa),,School Of Veterinary Medicine|Graduate School Field Of Study,Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Navigating The Workforce|Entrepreneurship And Startup Advice|First Generation Student Guidance|Networking,Health and wellness,"Energy, sustainability and the environment",Entrepreneurship and startups,Medicine and healthcare,Policy and advocacy,,
Ethan Petrov,Mentee,Graduate,ethanpetrov@hotmail.com,,Nan|Graduate And Professional Students Assembly. (Gpsa),East Coast U.S.|NYC Area,,Work-Life Balance|Navigating The Workforce|First Generation Student Guidance|Networking,Data and analytics,Retail and consumer goods,"Biotech, pharmaceutical, life sciences, and medical devices",Academia and research,Consulting and strategy,,
Hannah Gupta,Mentee,Graduate,hgupta@hotmail.com,,Nan|Graduate And Professional Students Assembly. (Gpsa),,,Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Navigating The Workforce|International Student Guidance|Networking,Data and analytics,"Finance, investment and financial services",Consulting and strategy,Business,Retail and consumer goods,,
Isaiah Perez,Mentee,Graduate,iperez@cornell.edu,,Nan|Graduate And Professional Students Assembly. (Gpsa),,College Of Arts And Sciences|Graduate School Field Of Study,Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Navigating The Workforce|Public Service And Non-Profit Careers|Transitioning From Academia To Industry Or Navigating Career Changes|First Generation Student Guidance|Networking,Academia and research,Data and analytics,Engineering,Consulting and strategy,Creative fields,,
Jackson Foster,Mentee,Graduate,jackson_foster@outlook.com,,Nan|Graduate And Professional Students Assembly. (Gpsa),East Coast U.S.|NYC Area|East Asia,College Of Arts And Sciences,Work-Life Balance|Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Public Service And Non-Profit Careers|International Student Guidance|Transitioning From Academia To Industry Or Navigating Career Changes|First Generation Student Guidance|Networking,Academia and research,Consulting and strategy,Education,Psychology and social work,Policy and advocacy,,
Kennedy Allen,Mentee,Graduate,kennedyallen@outlook.com,,Nan|Graduate And Professional Students Assembly. (Gpsa),,,Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Navigating The Workforce|Transitioning From Academia To Industry Or Navigating Career Changes|Networking,"Biotech, pharmaceutical, life sciences, and medical devices",Data and analytics,Medicine and healthcare,Consulting and strategy,Public service and government,,
Madison Kowalski,Mentee,Graduate,madison3@gmail.com,,Nan|Graduate And Professional Students Assembly. (Gpsa),East Coast U.S.|West Coast U.S.|NYC Area|Western Europe|Eastern Europe|UK|East Asia,School Of Industrial And Labor Relations,Navigating The Workforce|Public Service And Non-Profit Careers|International Student Guidance|Transitioning From Academia To Industry Or Navigating Career Changes|Networking,Academia and research,Data and analytics,Non-profit and social enterprise,IT and technology,Policy and advocacy,,
Matthew Fischer,Mentee,Graduate,matthewfischer@cornell.edu,,Nan|Graduate And Professional Students Assembly. (Gpsa),,College Of Arts And Sciences,Work-Life Balance|Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Navigating The Workforce|Transitioning From Academia To Industry Or Navigating Career Changes,Academia and research,Psychology and social work,Data and analytics,,,,
Riley Eze,Mentee,Graduate,riley_eze@icloud.com,,Nan|Graduate And Professional Students Assembly. (Gpsa),,College Of Engineering,Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Navigating The Workforce|Entrepreneurship And Startup Advice|Transitioning From Academia To Industry Or Navigating Career Changes|Networking,"Biotech, pharmaceutical, life sciences, and medical devices",Entrepreneurship and startups,Engineering,Academia and research,Medicine and healthcare,,
Samuel Walker,Mentee,Graduate,samuel.walker@gmail.com,,Nan|Graduate And Professional Students Assembly. (Gpsa),,Cornell Jeb E. Brooks School Of Public Policy|Cornell SC Johnson College Of Business|The Samuel Curtis Johnson Graduate School Of Management.|The Samuel Curtis Johnson Graduate School Of Management.,International Student Guidance|Transitioning From Academia To Industry Or Navigating Career Changes|Networking,Health and wellness,Marketing,Consulting and strategy,Policy and advocacy,"Energy, sustainability and the environment",,
Victoria Khan,Mentee,Graduate,victoriakhan@gmail.com,,Nan|Graduate And Professional Students Assembly. (Gpsa)|Other,,College Of Agriculture And Life Sciences,Work-Life Balance|Transitioning From Academia To Industry Or Navigating Career Changes|First Generation Student Guidance|Networking,"Biotech, pharmaceutical, life sciences, and medical devices",Law and legal services,Corporate and general management,Business,Policy and advocacy,,
Aaron Bryant,Mentee,Graduate,aaronbryant@cornell.edu,,Nan|Other,East Coast U.S.|West Coast U.S.|NYC Area,College Of Agriculture And Life Sciences,,Academia and research,Consulting and strategy,Entrepreneurship and startups,Media and entertainment,Retail and consumer goods,,
Aubrey Simmons,Mentee,Graduate,aubreysimmons@icloud.com,,Nan|Other,East Coast U.S.,College Of Arts And Sciences,Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Transitioning From Academia To Industry Or Navigating Career Changes|Networking,Academia and research,"Journalism, publishing and communications",Education,,,,
Avery Nelson,Mentee,Graduate,avery86@icloud.com,,Nan|Other,,College Of Arts And Sciences|Cornell Ann S. Bowers College Of Computing And Information Science,Work-Life Balance|International Student Guidance|Networking,Data and analytics,IT and technology,Consulting and strategy,Business,Retail and consumer goods,,
David Gonzalez,Mentee,Graduate,dgonzalez@gmail.com,,Nan|Other,East Coast U.S.,Cornell Jeb E. Brooks School Of Public Policy,Work-Life Balance|Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Navigating The Workforce|Transitioning From Academia To Industry Or Navigating Career Changes|Networking,Academia and research,Policy and advocacy,Public service and government,Consulting and strategy,,,
Emily Jones,Mentee,Graduate,emily_jones@icloud.com,,Nan|Other,East Coast U.S.|NYC Area,College Of Agriculture And Life Sciences|Graduate School Field Of Study|Weill Cornell Medicine (NYC)|Weill Cornell Graduate School Of Medical Sciences (NYC),Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Transitioning From Academia To Industry Or Navigating Career Changes|Networking,"Biotech, pharmaceutical, life sciences, and medical devices","Finance, investment and financial services",Entrepreneurship and startups,Consulting and strategy,Business,,
Lucas Roberts,Mentee,Graduate,lucas_roberts@cornell.edu,,Nan|Other,East Coast U.S.|NYC Area,Weill Cornell Medicine (NYC),Work-Life Balance|Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|International Student Guidance|Transitioning From Academia To Industry Or Navigating Career Changes,Academia and research,Education,Data and analytics,"Biotech, pharmaceutical, life sciences, and medical devices","Journalism, publishing and communications",,
Maya Williams,Mentee,Graduate,maya28@outlook.com,,Nan|Other,,College Of Agriculture And Life Sciences|College Of Engineering,Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Public Service And Non-Profit Careers|Transitioning From Academia To Industry Or Navigating Career Changes,"Energy, sustainability and the environment",Academia and research,Engineering,Education,Non-profit and social enterprise,,
Mei Patel,Mentee,Graduate,meipatel@gmail.com,,Nan|Other,,College Of Human Ecology,Work-Life Balance|Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Networking,Architecture and urban planning,Consulting and strategy,Health and wellness,Medicine and healthcare,Psychology and social work,,
Sarah Thompson,Mentee,Graduate,sarah17@gmail.com,,Nan|Other,NYC Area,,Work-Life Balance|Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Networking,Academia and research,"Biotech, pharmaceutical, life sciences, and medical devices",Education,Public service and government,,,
Savannah Cruz,Mentee,Graduate,savannah99@hotmail.com,,Nan|Other,East Coast U.S.|West Coast U.S.|NYC Area|Western Europe,College Of Agriculture And Life Sciences|College Of Engineering,Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Navigating The Workforce|Entrepreneurship And Startup Advice|Transitioning From Academia To Industry Or Navigating Career Changes|Networking,"Energy, sustainability and the environment",Engineering,Academia and research,,,,
Avery Ali,Mentee,Undergraduate,avery_ali@gmail.com,,Other|Nan,East Coast U.S.|NYC Area|Western Europe,College Of Agriculture And Life Sciences|Charles H. Dyson School Of Applied Economics And Management,Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Public Service And Non-Profit Careers|International Student Guidance|Networking,Data and analytics,IT and technology,Consulting and strategy,Non-profit and social enterprise,Business,,
Claire Nguyen,Mentee,Undergraduate,claire.nguyen@outlook.com,,Other|Nan,East Coast U.S.|West Coast U.S.|NYC Area|Western Europe|UK|Midwest U.S.,College Of Arts And Sciences,Work-Life Balance|Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Navigating The Workforce|Public Service And Non-Profit Careers|Networking,Academia and research,Non-profit and social enterprise,Policy and advocacy,"Journalism, publishing and communications",Education,,
Grace Kowalski,Mentee,Undergraduate,gkowalski@cornell.edu,,Other|Nan,East Coast U.S.,College Of Engineering,Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Networking,"Biotech, pharmaceutical, life sciences, and medical devices",Academia and research,Law and legal services,Medicine and healthcare,,,
Isaiah Torres,Mentee,Undergraduate,itorres@icloud.com,,Other|Nan,,,Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|International Student Guidance|Networking,"Biotech, pharmaceutical, life sciences, and medical devices",Medicine and healthcare,Health and wellness,Business,,,
Kaylee Nguyen,Mentee,Undergraduate,kaylee.nguyen@gmail.com,,Other|Nan,,College Of Arts And Sciences,Work-Life Balance|Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Transitioning From Academia To Industry Or Navigating Career Changes|Networking,Academia and research,"Biotech, pharmaceutical, life sciences, and medical devices",Medicine and healthcare,"Journalism, publishing and communications","Energy, sustainability and the environment",,
Lily Wright,Mentee,Undergraduate,lily89@outlook.com,,Other|Nan,,,Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.),Academia and research,"Biotech, pharmaceutical, life sciences, and medical devices",,,,,
Thomas Baker,Mentee,Undergraduate,thomas.baker@cornell.edu,,Other|Nan,East Coast U.S.|West Coast U.S.|NYC Area|South Asia,,Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Entrepreneurship And Startup Advice|Networking,Entrepreneurship and startups,Design,Business,Creative fields,"Energy, sustainability and the environment",,
Christian Ortiz,Mentee,Undergraduate,christianortiz@yahoo.com,,Panhellenic/Multicultural Greek Fraternal Council|Nan,East Coast U.S.|NYC Area,College Of Agriculture And Life Sciences|College Of Human Ecology|Cornell Jeb E. Brooks School Of Public Policy|MBA|Weill Cornell Medicine (NYC),Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Navigating The Workforce|Networking,"Biotech, pharmaceutical, life sciences, and medical devices",Consulting and strategy,Business,Health and wellness,"Journalism, publishing and communications",,
Yuna Nakamura,Mentee,Undergraduate,yuna_nakamura@cornell.edu,,Panhellenic/Multicultural Greek Fraternal Council|Nan,West Coast U.S.,Cornell SC Johnson College Of Business|Nolan School Of Hotel Administration|Nolan School Of Hotel Administration,Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Navigating The Workforce|Networking,Real estate,Business,"Finance, investment and financial services",Hospitality,,,
Camila Yamamoto,Mentee,Undergraduate,camila57@yahoo.com,,Women's Leadership Initiative (WLI)|Nan,NYC Area,College Of Arts And Sciences,Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.),Medicine and healthcare,Academia and research,Data and analytics,,,,
Carter Nakamura,Mentee,Undergraduate,carter5@yahoo.com,,Women's Leadership Initiative (WLI)|Nan,Western Europe|UK,,Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|International Student Guidance|Networking,Data and analytics,Policy and advocacy,"Finance, investment and financial services",Public service and government,"Energy, sustainability and the environment",,
Eleanor Lee,Mentee,Undergraduate,elee@outlook.com,,Women's Leadership Initiative (WLI)|Nan,Midwest,College Of Arts And Sciences,Work-Life Balance|Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Navigating The Workforce|Transitioning From Academia To Industry Or Navigating Career Changes|First Generation Student Guidance|Networking,Medicine and healthcare,Academia and research,"Biotech, pharmaceutical, life sciences, and medical devices",Psychology and social work,Veterinary medicine,,
Lily Rivera,Mentee,Undergraduate,lily19@hotmail.com,,Women's Leadership Initiative (WLI)|Nan,East Coast U.S.|NYC Area|Western Europe|Eastern Europe,Charles H. Dyson School Of Applied Economics And Management|College Of Arts And Sciences|Cornell SC Johnson College Of Business,Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|International Student Guidance,Business,"Finance, investment and financial services",Consulting and strategy,,,,
Skylar Thompson,Mentee,Undergraduate,skylar2@cornell.edu,,Women's Leadership Initiative (WLI)|Nan,West Coast U.S.|NYC Area,,Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Navigating The Workforce,Consulting and strategy,"Finance, investment and financial services",Business,Law and legal services,Policy and advocacy,,
